CustomerID,Recency,Frequency,Monetary,Recency_capped,Frequency_capped,Monetary_capped,R_Score,F_Score,M_Score,RFM_Score
12643,128,6,3344.64,128.0,6.0,3344.64,2,2,4,224
12650,3,1,314.44,3.0,1.0,314.44,5,1,1,511
12651,334,1,114.0,334.0,1.0,114.0,1,1,1,111
12652,331,1,919.98,331.0,1.0,919.98,1,1,3,113
12656,17,5,4051.17,17.0,5.0,4051.17,4,1,5,415
12657,11,4,1643.18,11.0,4.0,1643.18,4,1,4,414
12659,29,1,91.68,29.0,1.0,91.68,3,1,1,311
12660,11,1,245.1,11.0,1.0,245.1,4,1,1,411
12669,150,3,2744.0299999999997,150.0,3.0,2744.0299999999997,2,1,4,214
12670,10,5,2996.05,10.0,5.0,2996.05,4,1,4,414
12672,329,1,225.89999999999998,329.0,1.0,225.89999999999998,1,1,1,111
12674,38,4,1970.6,38.0,4.0,1970.6,3,1,4,314
12678,42,12,17628.46,42.0,12.0,17628.46,3,3,5,335
12679,58,4,1113.02,58.0,4.0,1113.02,3,1,3,313
12680,0,4,862.81,0.0,4.0,862.81,5,1,3,513
12681,14,22,13787.54,14.0,22.0,13787.54,4,5,5,455
12682,3,31,12288.22,3.0,23.260000000000005,12288.22,5,5,5,555
12683,4,15,8476.57,4.0,15.0,8476.57,5,4,5,545
12684,7,7,2283.63,7.0,7.0,2283.63,5,2,4,524
12685,28,6,2863.08,28.0,6.0,2863.08,3,2,4,324
12686,371,1,89.14,366.7,1.0,89.14,1,1,1,111
12689,25,2,1247.61,25.0,2.0,1247.61,4,1,4,414
12690,205,1,389.01,205.0,1.0,389.01,1,1,2,112
12691,28,6,1035.8,28.0,6.0,1035.8,3,2,3,323
12694,70,2,869.67,70.0,2.0,869.67,2,1,3,213
12695,7,4,582.1,7.0,4.0,582.1,5,1,2,512
12700,7,4,4939.99,7.0,4.0,4939.99,5,1,5,515
12707,291,1,603.42,291.0,1.0,603.42,1,1,2,112
12714,9,5,4708.86,9.0,5.0,4708.86,5,1,5,515
12716,3,2,1053.49,3.0,2.0,1053.49,5,1,3,513
12718,71,1,238.25,71.0,1.0,238.25,2,1,1,211
12719,5,2,644.95,5.0,2.0,644.95,5,1,2,512
12721,31,6,2656.13,31.0,6.0,2656.13,3,2,4,324
12722,85,4,997.63,85.0,4.0,997.63,2,1,3,213
12723,3,5,725.07,3.0,5.0,725.07,5,1,3,513
12724,5,4,1031.41,5.0,4.0,1031.41,5,1,3,513
12726,28,7,2609.1,28.0,7.0,2609.1,3,2,4,324
12727,10,7,3980.7,10.0,7.0,3980.7,4,2,5,425
12728,71,4,836.33,71.0,4.0,836.33,2,1,3,213
12729,113,1,453.01,113.0,1.0,453.01,2,1,2,212
12731,23,12,18895.91,23.0,12.0,17805.903,4,3,5,435
12732,179,1,236.26000000000002,179.0,1.0,236.26000000000002,1,1,1,111
12734,352,1,110.39999999999999,352.0,1.0,110.39999999999999,1,1,1,111
12735,315,2,779.5699999999999,315.0,2.0,779.5699999999999,1,1,3,113
12736,332,1,234.0,332.0,1.0,234.0,1,1,1,111
12740,63,1,427.6,63.0,1.0,427.6,2,1,2,212
14277,15,3,4216.2,15.0,3.0,4216.2,4,1,5,415
