CustomerID,Recency,Frequency,Monetary,Recency_capped,Frequency_capped,Monetary_capped,R_Score,F_Score,M_Score,RFM_Score
12585,234,2,2040.1,234.0,2.0,2040.1,1,1,4,114
12590,211,2,9864.26,211.0,2.0,9864.26,1,1,5,115
12592,92,2,437.6,92.0,2.0,437.6,2,1,2,212
12600,28,10,2599.04,28.0,10.0,2599.04,3,2,4,324
12601,189,5,577.0600000000001,189.0,5.0,577.0600000000001,1,1,2,112
12603,21,1,739.1999999999999,21.0,1.0,739.1999999999999,4,1,2,412
12609,78,3,1126.85,78.0,3.0,1126.85,2,1,3,213
12612,74,1,704.0400000000001,74.0,1.0,704.0400000000001,2,1,2,212
12613,57,5,3344.38,57.0,5.0,3344.38,3,1,4,314
12614,277,1,315.6,277.0,1.0,315.6,1,1,1,111
12619,16,9,3641.24,16.0,9.0,3641.24,4,2,4,424
12621,1,20,13689.67,1.0,20.0,13689.67,5,4,5,545
12622,232,1,180.1,232.0,1.0,180.1,1,1,1,111
12623,276,1,305.1,276.0,1.0,305.1,1,1,1,111
12625,211,2,2683.82,211.0,2.0,2683.82,1,1,4,114
12626,23,9,6620.48,23.0,9.0,6620.48,4,2,5,425
12627,10,7,4478.53,10.0,7.0,4478.53,5,2,5,525
12628,4,3,786.46,4.0,3.0,786.46,5,1,3,513
12633,58,4,2163.98,58.0,4.0,2163.98,3,1,4,314
12635,89,2,1689.18,89.0,2.0,1689.18,2,1,4,214
12642,25,3,1013.26,25.0,3.0,1013.26,3,1,3,313
12644,129,1,477.91,129.0,1.0,477.91,2,1,2,212
12645,33,4,1775.18,33.0,4.0,1775.18,3,1,4,314
12647,22,12,3722.82,22.0,12.0,3722.82,4,2,4,424
12648,154,1,318.05,154.0,1.0,318.05,1,1,1,111
12649,107,3,623.51,107.0,3.0,623.51,2,1,2,212
12654,10,5,601.98,10.0,5.0,601.98,5,1,2,512
12658,18,1,686.05,18.0,1.0,686.05,4,1,2,412
12662,0,11,3849.78,0.0,11.0,3849.78,5,2,4,524
12665,324,1,63.0,324.0,1.0,63.0,1,1,1,111
12668,11,4,3807.15,11.0,4.0,3807.15,5,1,4,514
12673,5,2,610.52,5.0,2.0,610.52,5,1,2,512
12693,127,4,855.91,127.0,4.0,855.91,2,1,3,213
12701,79,2,797.71,79.0,2.0,797.71,2,1,3,213
12702,19,1,219.0,19.0,1.0,219.0,4,1,1,411
12703,71,1,283.55,71.0,1.0,283.55,2,1,1,211
12705,15,9,6868.29,15.0,9.0,6868.29,4,2,5,425
12708,29,10,2712.91,29.0,10.0,2712.91,3,2,4,324
12709,15,15,9736.52,15.0,15.0,9736.52,4,3,5,435
12710,96,3,1149.02,96.0,3.0,1149.02,2,1,3,213
12712,28,13,4396.13,28.0,13.0,4396.13,3,3,5,335
12713,0,1,848.55,0.0,1.0,848.55,5,1,3,513
12720,2,25,5781.73,2.0,25.0,5781.73,5,5,5,555
12738,372,1,155.35,338.51999999999975,1.0,155.35,1,1,1,111
13810,28,3,1499.01,28.0,3.0,1499.01,3,1,3,313
13811,183,3,814.5,183.0,3.0,814.5,1,1,3,113
13812,42,3,539.0,42.0,3.0,539.0,3,1,2,312
13813,39,4,1366.8600000000001,39.0,4.0,1366.8600000000001,3,1,3,313
13814,92,2,1579.12,92.0,2.0,1579.12,2,1,3,213
13815,22,4,4027.36,22.0,4.0,4027.36,4,1,5,415
13816,23,2,571.6700000000001,23.0,2.0,571.6700000000001,4,1,2,412
13817,29,2,382.98,29.0,2.0,382.98,3,1,1,311
14335,16,2,468.26,16.0,2.0,468.26,4,1,2,412
