index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct
51,Pani Puri Mix Paste,"Foodgrains, Oil & Masala",Masalas & Spices,Mother's Recipe,48.95,55.0,Cooking Pastes,4.1,"Make your home-made Panipuri more delightful, with the help of our Tangy Panipuri Mix Paste. Mix 4 tablespoon (50g) of Mother's Recipe Panipuri Mix Paste in 450 ml of chilled water. Dunk the puris filled with mashed boiled potatoes and Sprouts or Boondi in the prepared water and enjoy. Tastes best with our Tamarind Date Chutney.",48.95,48.95,10.999999999999995
53,Acne & Oil Control Face Wash,Beauty & Hygiene,Men's Grooming,Red Hunt,80.0,100.0,Face & Body,4.0,"Natural mineral kaolin deep cleans removes dirt, pollution and bacteria. Added sliver resists the impact and spread of acne causing bacteria",80.0,80.0,20.0
54,Choco Deck - French Dessert Inspired Layered Bar,Snacks & Branded Foods,Chocolates & Candies,Fabelle,56.0,70.0,Chocolates,4.0,"Fabelle Choco Deck is a unique multi-layered chocolate experience with three irresistible layers of chocolate. Now introducing Fabelle Choco French Dessert Inspired Layered Bar where the bar is inspired from the French Dessert - Mille Feuille. The middle layer is made of soft choco creme, nuts and crisps cradled between two layers of Milk Chocolate thereby re-creating the iconic French dessert.Fabelle has reimagined the way chocolates are meant to look, feel and taste. Indulge your senses with Fabelle's range of premium chocolate bars available in a unique format.",56.0,56.0,20.0
57,Foochka,Snacks & Branded Foods,Ready To Cook & Eat,Shareat,60.0,60.0,"Papads, Ready To Fry",3.9,Unfried multigrain and hygienic Pani Puri Papad. We use high-quality grains for making the Puris made with an automatic machine from Italy. In 5 minutes you can make hygienic Pani puri at your home by using your choice of oil for frying.,60.0,60.0,0.0
64,Sugar Free Petit Beurre - The Taste of France,Snacks & Branded Foods,Biscuits & Cookies,Bisk Farm,35.0,35.0,"Marie, Health, Digestive",4.0,"Bisk Farm Sugar Free Petit Beurre is one of the best sugar free petit beurre for diabetic patients and for other health issues. They have a good flavor and these biscuits are made of salty, spice and sweet. It is hygienically baked and well packed in wrappers that makes them long lasting and remain fresh giving crispy taste. It is crispy and gives a superior taste.",35.0,35.0,0.0
69,Organic Carom Seeds/Ajwain/Om Kalu,"Foodgrains, Oil & Masala",Masalas & Spices,Earthon,72.0,72.0,Whole Spices,4.2,"Earthon's Ajwain is Best quality, organically grown, no preservative, no artificial colour and free from harmful chemicals or pesticides.
Ajwain also know as Bishop’s weed or Carom seeds are small brown colour seeds with a pleasant but strong odour.",72.0,72.0,0.0
71,"Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour",Beauty & Hygiene,Oral Care,Colgate,43.0,43.0,Toothpaste,4.0,"Kids must brush their teeth at least 2 times a day and Colgate Kids Motu Patlu Toothpaste is a fun way to ensure they enjoy good oral care habits early on! This delicious fruit flavoured toothpaste is specially designed for children of age 6 years and above who have newly erupted or developing permanent teeth. The toothpaste effectively cleanses their mouth, leaving it fresh. The kid’s toothpaste also provides clinically proven cavity and enamel protection. Sparking colourful gel of Colgate strawberry toothpaste makes brushing fun for kids. Developed with the help and expertise of Pediatric dentists, Colgate offers a healthy and thoroughly clean. It ensures your kid’s smile gets brighter and cleaner with every use.",43.0,43.0,0.0
74,Til Dil Seeds,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Mantra,70.0,70.0,Roasted Seeds & Nuts,3.6,"Mantra Til Dil is made from premium quality natural ingredients that have a great taste. It contains no preservatives, no added colours or flavours. Mantra Til Dil is a great way to indulge yourself naturally. The premium ingredients add a luxurious taste to it.  Perfect healthy snacks to tame your small hunger pangs.",70.0,70.0,0.0
75,"Penta Plastic Pet Water Bottle - Green, Wide Mouth","Kitchen, Garden & Pets",Storage & Accessories,BB Home,75.0,126.0,Water & Fridge Bottles,3.9,"These BB Home pet water bottles are made of high-quality plastic which is 100% food grade and BPA free. Due to the use of virgin PET material, these bottles are having elegant shine and colour. These are the best ones to store water in the fridge or you can drink water directly from them.
BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use.
Special Note: Colour of the bottle physically might slightly differ from the image displayed on the website due to digital photography.",75.0,75.0,40.476190476190474
79,Amla Chatpata Dry Fruit,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Fresho Signature,49.0,65.0,Dry Fruits & Berries,4.1,"Fresho Signature presents an array of dry fruits apart from the ordinary to give you the best of the best to indulge. Want to try something other than a regular fruit? This sweetened and spiced amla dry fruit is a healthy alternative to munch on when hunger strikes. It contains amla fruit, sulphurless sugar, cumin seed, black pepper, black salt, citric acid, cinnamon, asafoetida and ginger powder. Easy to carry, it makes a great snack to keep you going throughout the day.

Our spicy candied dry fruit is here to be your snack buddy and your healthy sugar high. They are sweetened with sulphurless sugar and liquid glucose and spiced to enhance the zing. There are 0 added preservatives, artificial colour and flavour to retain the original fruit essence and keep it natural and healthy.",49.0,49.0,24.615384615384617
80,"Toothbrush Superhero Assorted, Batman/Spiderman",Beauty & Hygiene,Oral Care,Colgate,49.0,79.0,Toothbrush,3.9,"Kids must brush their teeth at least 2 times a day and Colgate Kids Spider-man Toothbrush is a fun way to encourage good oral care habits early on! This attractive extra-soft bristle toothbrush has extra soft bristles specially designed for children. It is ideal for kids of age 5 years and above who have baby teeth or developing permanent teeth. Extra soft, multi-height bristles on the toothbrush effectively clean big and small teeth, while the raised tip helps clean hard to reach back teeth. The kid’s toothbrush features a well-rounded handle; a thumb grip offering comfortable hold; a suction cup at the base for easy and fun upright storage and a soft plus safe tongue cleaner on the back of the toothbrush head. Cleaning teeth could never have been more fun! Developed with the help and expertise of Pediatric dentists, Colgate offers a healthy and thoroughly clean. The toothbrush helps clean beyond teeth so your kid’s smile only gets brighter and cleaner.",49.0,49.0,37.9746835443038
81,Chips - Topica,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,65.0,65.0,Chips & Corn Snacks,3.9,Made with Topica,65.0,65.0,0.0
85,Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml,Cleaning & Household,Detergents & Dishwash,bb Combo,95.0,114.0,Dishwash Bars & Powders,4.3,"Exo Dish Shine Round makes your vessels odorous and removes the stain. The fast action formula with the hyper-cleaning technology quickly removes the toughest of stains and makes your vessels shine like never before. This dishwashing bar does not leave traces on the vessel and hence it can be easily washed. It works hard on grease and stains, keeping your utensils fresh and shining. It contains many anti-microbial agents that keep your vessels away from dirt and microbes which do not create pealing or itching of your skin.Pril dishwash liquid has powerful active 2x molecules that cut away tough grease residue, removes the food smell and leaves the utensils sparkling clean.",95.0,95.0,16.666666666666664
88,Avida 3-in-1 Semi Economy Pouch -  FG01248,Cleaning & Household,Pooja Needs,Shalimar,31.5,35.0,"Agarbatti, Incense Sticks",4.6,"3 in 1, Incense sticks, also known as agarbathi (or agarbatti) and joss sticks, in which an incense paste is rolled or moulded around a bamboo stick, are the main forms of incense in India. In India, burning incense is about spreading positivity in all around areas. Burning incense sticks is also a symbol of worshipping God and a symbol of peace and freshness.With powerful healing properties, these incense sticks can influence your life by increasing spirituality. The bamboo method originated in India and is distinct from the Nepali/Tibetan and Japanese methods of stick making without bamboo cores.",31.5,31.5,10.0
90,Sweet Corn Kernels - Chipotle,Fruits & Vegetables,Cuts & Sprouts,Supa Corn,55.0,55.0,Cut & Peeled Veggies,3.0,"Ready To Eat Sweet Corn kernels, packaged using OXYFRESH Technology along with Chipotle masala sachet.",55.0,55.0,0.0
93,Topp Up Milk - Elaichi,"Bakery, Cakes & Dairy",Dairy,Gowardhan,80.01,90.0,"Flavoured, Soya Milk",5.0,"Gowardhan Topp-Up Milk is made by 100 % of cow's milk and has 10% more protein. This elaichi milk will taste like a rich and luxurious treat. Liked by all ages, this healthy drink is perfect for your hunger pangs and its delicious taste will surely going to please your taste buds.",80.01,80.01,11.099999999999994
94,Namkeen - Madras Mixture,Snacks & Branded Foods,Snacks & Namkeen,Townbus,15.0,10.0,Namkeen & Savoury Snacks,4.1,Townbus Savoury Snacks are made by combining the freshest of ingredients with a traditional recipie. These authentic snacks will take you down memory lane and remind you of the traditional snacks your grandma used to make with love. Townbus namkeens are perfect to relish with your evening tea or coffee. They can also be used in chaat for added flavour or to customise it as per your liking. Townbus every bite has a story.,10.0,15.0,0.0
98,Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill,Beauty & Hygiene,Bath & Hand Wash,Godrej Protekt,32.55,35.0,Hand Wash & Sanitizers,4.4,"Godrej Protekt Mr Magic handwash is a unique powder to liquid format, a first, in the world of handwashes! With Neem which is tough on germs and soothing Aloe Vera makes it gentle on skin. Extremely affordable compared to other handwashes in the market.Mr Magic handwash is not just green in colour, it's also green in nature. If all Indian households that use liquid handwash refills switch to Godrej Protekt Mr Magic refills, it would result in a greener, better world.So, add, pour, shake and wash to stay protected!",32.55,32.55,7.000000000000008
105,Veda Marie Light Biscuits,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,30.0,30.0,"Marie, Health, Digestive",4.4,"Crispy Marie biscuits with the goodness of wheat fibre and 5 natural ingredients -Tusli, Ginger, Cardamom, Ashwagandha and Mulethi, making it the perfect partner for your cup of tea!",30.0,30.0,0.0
111,Incense Sticks - Sandal,Cleaning & Household,Pooja Needs,Ambica,60.0,60.0,"Agarbatti, Incense Sticks",4.6,Traditional Indian Incense Sticks,60.0,60.0,0.0
113,Fenugreek,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,28.5,30.0,Organic Masalas & Spices,4.2,"Per 100 gm : Calories - 323 g, Fat - 6 g, Protein - 23 g",28.5,28.5,5.0
114,Caramel Popcorn - Himalayan Salt,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",4700BC,44.1,49.0,Gourmet Popcorn,4.1,"4700BCs high quality popcorns are coated with signature handcrafted caramel sprinkled with Himalayan salt. It is the perfect snack for every occasion so go ahead and indulge yourself by having this pack filled of yummy Sriracha Lime Cheese popcorns at anytime during the day. This delicious gluten free snack has 0 grams of trans fat per serving and has certified non-GMO corn, no MSG and is cholesterol free.",44.1,44.1,9.999999999999998
116,Sapota - Organically Grown,Fruits & Vegetables,Fresh Fruits,Fresho,35.0,43.75,Organic Fruits,3.0,"Brown skinned sapotas are smooth to grainy textured, musky-scented and deliciously sweet in taste. The flesh generally contains 2-3 large and inedible black seeds. Fresho sapotas are freshly plucked by our farmers who grow it organically and the best quality is delivered to you. Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1232/summer-fruit-salad/",35.0,35.0,20.0
118,"Steel Bowl/Vati/Katori - No. 4, Chutney","Kitchen, Garden & Pets",Steel Utensils,BB Home,69.0,159.0,Bowls & Vessels,3.7,BB Home Chutney Bowl can be used to serve all sorts of homemade chutneys and sauces with ease to accompany your homemade spicy Indian meal. It is made from high-quality steel and this set of four steel bowls is a must-have for your home and for small servings.,69.0,69.0,56.60377358490566
122,"Power Pocket - Long Lasting Bathroom Fragrance, Berry Rush",Cleaning & Household,Fresheners & Repellents,Aer,53.35,55.0,Air Freshener,4.2,"Petal Crush Pink Life is not a bed of roses. But it can smell like one right? Here's a fragrance that is as fresh as it is romantic. Godrej Aer Pocket Say hello to Godrej aer pocket, a range of bathroom air freshener available in 5 delightful fragrances. Its unique power gel technology keeps your bathroom fragrant for 3-4 weeks and ensures that its fragrance reaches every corner of your bathroom. A must-have stock item in your pantry & toilet, Godrej aer pocket is so easy to use, that you simply have to unwrap the packet and hang it with the hook provided. That's it, you are done. Godrej aer pocket works 24x7 without any effort, so you can walk-in to a refreshing fragrance every-time you step into your bathroom. You can now choose from any of our 5 refreshing fragrance variants - Misty Morning Meadows, Fresh Lush Green, Bright Tangy Delight, Violet Valley Bloom, and Petal Crush Pink.",53.35,53.35,2.9999999999999973
123,Cabbage - Red,Fruits & Vegetables,Fresh Vegetables,Fresho,23.0,28.75,Cabbage & Cauliflower,3.0,"It is round, wrapped in purplish red leaf layers. The flavour is more peppery and bold compared to green ones.
Its leaves are coarser as they have less water content. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1561/violet-cabbage-walnut-salad/",23.0,23.0,20.0
127,Instant Popcorn - Butter Delite,Snacks & Branded Foods,Snacks & Namkeen,ACT II,29.7,33.0,Chips & Corn Snacks,4.2,"Enhance your movie-watching experience, in the comfort of your own home with World’s No. 1 ACT II popcorn. ACT II popcorn is easy to make. In only 3 minutes, enjoy Hot n Fresh n delicious popcorn along with the delightful popcorn aroma. You can choose among different pack sizes such as individual packs, family packs and party packs, as per your need.
Relish your favourite ACT II popcorn, now available in various lip-smacking desi flavours such as butter, Sweet Pani Puri, Tandoori Tadka, Southern Spice, Butter pepper as well as international flavours such as Cheese Delite, Peri Peri, Thai Sweet Chilli and Tomato Chili.",29.7,29.7,10.000000000000002
131,Dark Fantasy - Choco Fills Biscuits - Cookies,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,23.76,30.0,Cream Biscuits & Wafers,4.3,"Sunfeast Dark Fantasy Chocofill is nothing but smooth and tasty choco creme inside cookies that are baked to perfection. It has a rich chocolaty taste, and because of its soft texture, it simply melts in the mouth after a bite. This innovative cookie has its center filled with luscious chocolate which adds to the crunchiness.",23.76,23.76,20.799999999999994
132,Banana - Red,Fruits & Vegetables,Fresh Fruits,Fresho,39.0,48.75,"Banana, Sapota & Papaya",3.0,"Standing apart from the common varieties of yellow bananas, Red bananas are short, plump and reddish-purple in colour.
Even the flesh is light pink and sweeter compared to other varieties. They are high in nutrients and are freshly procured from the farmers. 
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1383/banana-ice-cream/",39.0,39.0,20.0
133,"Chilli - Bajji, Mild",Fruits & Vegetables,Herbs & Seasonings,Fresho,15.0,17.5,"Lemon, Ginger & Garlic",3.0,"Fresho is our brand of fresh fruits and vegetables which are individually handpicked every day by our experienced and technically competent buyers. Our buying, storing and packaging processes are tailored to ensure that only the fresh, nutrient-dense, healthy and delicious produce reaches your doorstep. We guarantee the quality of all Fresho products. If you're not satisfied with the freshness of the items, you can hand them back to our Customer Experience Executive (CEE) for a full refund. Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.",14.0,15.0,14.285714285714285
134,I Love You Fruit N Nut Chocolate,Snacks & Branded Foods,Chocolates & Candies,Amul,90.0,100.0,Chocolates,4.2,"This yummilicious chocolate is filled with crunchy almonds and handpicked juicy raisins and studded in the smooth texture of dark chocolate to give you the best chocolate pleasure.With 55% cocoa, Amul Fruit 'N' Nut Chocolate is a classic combination that is celebrated for decades and relished even today. The amalgamation of the dark chocolate and dry fruits will surely give your taste buds a heavenly feeling. Enjoy this sweet delight with your loved ones or enjoy some self-indulgence.",90.0,90.0,10.0
137,Cake Gel,Gourmet & World Food,Cooking & Baking Needs,Purix,85.5,90.0,"Baking, Cake Decorations",4.1,"Cake gel is a translucent soft jelly included in emulsifiers and humectants, which considerably enhances volume through increased aeration and provides a more uniform crumb structure. Adding Cake Gel helps in smooth mixing of all ingredients. Cake Gel is found in baked goods, ice cream, toppings, waffle, and fillings.",85.5,85.5,5.0
139,Organic Idly Podi - Ginger,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,75.0,75.0,Breakfast & Snack Mixes,3.9,"This is a Ginger flavour Idly Podi that can be had with Idli, Dosa or Adai/Cheela. Ginger helps in digestion. It contains gingerol, a substance with medicinal properties, that can treat many forms of nausea. The anti-inflammatory effects of ginger can help with osteoarthritis, treat chronic indigestion and help fight infections. Certified organic products are only used.",75.0,75.0,0.0
143,Dates/Kharjura - Deseeded,"Foodgrains, Oil & Masala",Dry Fruits,Lion,66.0,66.0,Other Dry Fruits,4.1,"Dates provide several necessary nutrients such as fiber, calcium, sulfur, iron, amino acids, manganese, magnesium, copper, phosphorous, potassium, and fats to the body.
They can be simply digested in nature.
As against other forms, dates are excellent for providing energy to your body.
They assist to strengthen your immunity in a natural manner.
Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",66.0,66.0,0.0
144,Chutney - Sweet Mango Sliced (without Garlic),Snacks & Branded Foods,Pickles & Chutney,Priya,90.0,90.0,Lime & Mango Pickle,3.9,"Priya Sweet Sliced Mango Chutney is rich in taste to meal. Hence, highly demanded. This Sweet Mango Chutney is highly appreciated for its purity and long shelf life. It is having high nutritional value and appetizing taste. This Sliced Mango Chutney is rich in aroma.",90.0,90.0,0.0
145,Turmeric Powder/Arisina Pudi,"Foodgrains, Oil & Masala",Masalas & Spices,Aashirvaad,32.0,64.0,Powdered Spices,4.2,"Aashirvaad Turmeric Powder is well-known for its bright yellow color and used as a coloring agent Turmeric is used extensively in Indian dishes. Turmeric has also originated application in canned beverages, dairy products, baked products, yogurt, ice cream, and biscuits.",32.0,32.0,50.0
146,Bread - Fruit,"Bakery, Cakes & Dairy",Breads & Buns,English Oven,20.0,20.0,"Milk, White & Sandwich",4.0,Filled with amazing tutti fruity,20.0,20.0,0.0
154,Energy Bar - Choco Crunch,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",On The Run,50.0,50.0,"Healthy, Baked Snacks",4.1,"Need that punch? go for the crunch! With crystallised fresh ginger, its perfect companion of tea or coffee. Ginger and green tea extract is a perfect combination of antioxidants. Chocolate Chips gives a rich taste. Finger Millet is the surprise ingredient. Rich in antioxidants, it comes with green tea extract and is rich in Vitamin C",50.0,50.0,0.0
158,"Octa Plastic Pet Water Bottle - Light Blue, Narrow Mouth","Kitchen, Garden & Pets",Storage & Accessories,BB Home,25.0,42.0,Water & Fridge Bottles,3.9,"These BB Home pet water bottles are made of high-quality plastic which is 100% food grade and BPA free. Due to the use of virgin PET material, these bottles are having elegant shine and colour. These are the best ones to store water in the fridge or you can drink water directly from them.BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use.Special Note: Colour of the bottle physically might slightly differ from the image displayed on the website due to digital photography.",25.0,25.0,40.476190476190474
161,One Touch Air Purifier Freshener - Floral Bouquet Refill,Cleaning & Household,Fresheners & Repellents,Odonil ,77.0,77.0,Air Freshener,4.2,"Odonil One Touch is proof you dont need an oil diffuser for your home, as it also guards your family from all sorts of bacteria in the air.Whether you need a room, car, or bathroom freshener, this one-touch spray is versatile air sanitiser that reduces 99% of airborne germs with only one spray.",77.0,77.0,0.0
164,Nomarks - Antimarks Soap For Oily Skin,Beauty & Hygiene,Bath & Hand Wash,Bajaj,40.0,40.0,Bathing Bars & Soaps,4.3,"New Bajaj nomarks soap helps remove excess oil, deep-rooted dirt and provides relief from sunburn, blemishes and acne or pimple problems. It is a natural antiseptic which provides deep pore cleansing. Its key ingredient neem is a miraculous herb which is medicinal in nature and has potent antibacterial and powerful healing properties. Neem effectively prevents and treats itching, rashes, acne and other skin ailments.",40.0,40.0,0.0
168,Snacks - Roasted Mixture Lime,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",GoodDiet,79.0,109.0,"Healthy, Baked Snacks",4.1,"Bb GoodDiet Roasted Mixture Lime is tangy, flaky and healthy too. You cannot debate it when your pack of snack contains a mix of multi-grains, pulses, flaxseed, and oats. Its a complete snack made mainly of Bengal Gram (chana) and Wheat Flakes. Weight loss on your mind? This mix is your best bet as wheat flakes help you in weight loss and many other health benefits. Do not just go on dieting. Go on good dieting.  Frying food increases your fat and calorie content. Enjoy these completely roasted snacks and say hello to a happier and healthier you.",79.0,79.0,27.522935779816514
169,Organic Dosa Mix - Jowar,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,80.0,80.0,Breakfast & Snack Mixes,3.7,"Millets are micronutrients which are nutritious and is a replacement for rice and wheat. This Dosa mix is made from Sorghum/Jowar. Jowar is rich in fibre and iron. The high protein content of jowar controls blood sugar level, is good for bone health, and gluten-free. Certified organic products are only used.",80.0,80.0,0.0
173,Pain Relief - Oil,Beauty & Hygiene,Hair Care,Himalaya Wellness,90.0,100.0,Hair Oil & Serum,4.4,"Pain Massage Oil is a herbal oil which provides relief from neuromuscular pain and the pain associated with arthritis.  For Beauty tips, tricks & more visit https://bigbasket.blog/",90.0,90.0,10.0
177,Clear Glycerine Soap - Natural Toning (Tea Tree Oil & Honey),Beauty & Hygiene,Bath & Hand Wash,Medimix,40.0,40.0,Bathing Bars & Soaps,4.3,"Medimix Clear Glycerine-Natural Toning is meant for people with Normal Skin. It helps maintain healthy skin-tone the natural way. It contains the unique and time tested combination of Tea-tree Oil, Honey and Glycerine, which helps keep skin clear, firm and healthy. It makes your skin smile!!!  For Beauty tips, tricks & more visit https://bigbasket.blog/",40.0,40.0,0.0
181,Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Chilli Green Long 250 g,Fruits & Vegetables,Herbs & Seasonings,Fresho,81.06,109.38,Indian & Exotic Herbs,3.0,"Coriander leaves are green, fragile with a decorative appearance. They contain minimal aroma and have a spicy-sweet taste. Now do not bother wasting time cutting off the roots as we value your money and time and provide you with the freshest leafy edible parts.Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/33/green-chutney/ Garlic is made of several heads wrapped in thin whitish layers. They are firm and have a mild flavour. Once crushed, they emit a strong and pungent aroma.Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/819/pull-apart-cheese-garlic-bread/ Firm and fibrous ginger roots are stretched with multiple fingers that have light to dark tan skin and rings on it and is aromatic, spicy and pungent. The flavour gets intensified when the ginger is dried and lessens when cooked.Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/232/chinese-white-sauce/ Green chillis are the best kitchen ingredient to bring a dash of spiciness to recipes. The fresh flavour and sharp bite make them a must in almost all Indian dishes. This particular green chilli variety is big.",81.06,81.06,25.89138782227098
182,Jaggery/Bella Powder - Pesticide Free,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Safe Harvest,56.0,70.0,Sugar & Jaggery,3.9,"Safe Harvest Jaggery Powder is made in the traditional way from molasses from cane juice, which is slow cooked to deliver a rich, nutrient dense goodness all the way from Uttarakhand to you. With minimal processing and no bleaching, it is packed with beneficial vitamins and minerals like Iron, Calcium, Potassium and Zinc important for bone density, immunity boosting and reproductive health.  Available in versatile powdered form, it can be used in a wide variety of sweet preparations as a healthy substitute to white sugar.  Transfer to a clean airtight container after opening the packet to avoid lumps.  All Safe Harvest products are cultivated completely devoid of synthetic chemical pesticides.",56.0,56.0,20.0
183,Ready Masala - Kashmiri Meat,"Foodgrains, Oil & Masala",Masalas & Spices,Kohinoor,19.0,20.0,Blended Masalas,4.2,"This flavorful delicacy is the pride of Kashmir and one of the main dishes of the famous Kashmiri Wazwan, known for its heavenly taste and aromatic gravy, this dish is full of flavours and should not be missed by any meat lover. It won’t be untrue to say that if there’s a dish that tastes like heaven then this is it!",19.0,19.0,5.0
