customer_id,Recency,Frequency,Monetary,Recency_capped,Frequency_capped,Monetary_capped,R_Score,F_Score,M_Score,RFM_Score,Segment,Segment_Name,Value_Score
12841,4,25,4022.35,4.0,25.0,4022.35,5,5,5,555,3,🌟 Champions,28.0
12842,70,2,1118.99,70.0,2.0,1118.99,3,1,4,314,1,🌟 Champions,22.8
12843,65,8,1702.26,65.0,8.0,1702.26,3,2,4,324,1,🌟 Champions,22.8
12844,29,2,325.96000000000004,29.0,2.0,325.96000000000004,4,1,2,412,1,🌟 Champions,22.8
12845,267,4,354.09,267.0,4.0,354.09,1,1,2,112,0,🔔 Need Attention,8.8
12847,22,1,871.54,22.0,1.0,871.54,4,1,3,413,1,🌟 Champions,22.8
12849,31,2,1050.89,31.0,2.0,1050.89,4,1,4,414,1,🌟 Champions,22.8
12851,96,1,135.18,96.0,1.0,135.18,2,1,1,211,1,🌟 Champions,22.8
12852,294,1,311.55,294.0,1.0,311.55,1,1,2,112,0,🔔 Need Attention,8.8
12853,134,6,1957.1,134.0,6.0,1957.1,2,1,4,214,1,🌟 Champions,22.8
12854,78,3,1324.5,78.0,3.0,1324.5,2,1,4,214,1,🌟 Champions,22.8
12855,372,1,38.1,368.81,1.0,38.1,1,1,1,111,0,🔔 Need Attention,8.8
12856,7,6,2179.93,7.0,6.0,2179.93,5,1,5,515,1,🌟 Champions,22.8
12857,210,2,1106.4,210.0,2.0,1106.4,1,1,4,114,0,🔔 Need Attention,8.8
12863,52,1,521.2,52.0,1.0,521.2,3,1,3,313,1,🌟 Champions,22.8
12864,138,1,147.12,138.0,1.0,147.12,2,1,1,211,1,🌟 Champions,22.8
12867,26,7,4036.82,26.0,7.0,4036.82,4,2,5,425,1,🌟 Champions,22.8
12868,185,6,1607.0600000000002,185.0,6.0,1607.0600000000002,1,1,4,114,0,🔔 Need Attention,8.8
12871,84,2,380.64,84.0,2.0,380.64,2,1,2,212,1,🌟 Champions,22.8
12872,326,2,599.97,326.0,2.0,599.97,1,1,3,113,0,🔔 Need Attention,8.8
12873,282,1,374.0,282.0,1.0,374.0,1,1,2,112,0,🔔 Need Attention,8.8
12875,143,2,343.2300000000001,143.0,2.0,343.2300000000001,2,1,2,212,1,🌟 Champions,22.8
12877,3,12,1535.77,3.0,12.0,1535.77,5,2,4,524,3,🌟 Champions,28.0
12878,236,2,854.99,236.0,2.0,854.99,1,1,3,113,0,🔔 Need Attention,8.8
12879,44,3,573.22,44.0,3.0,573.22,3,1,3,313,1,🌟 Champions,22.8
12881,275,1,298.0,275.0,1.0,298.0,1,1,2,112,0,🔔 Need Attention,8.8
12882,9,2,1463.04,9.0,2.0,1463.04,5,1,4,514,1,🌟 Champions,22.8
12883,24,4,703.47,24.0,4.0,703.47,4,1,3,413,1,🌟 Champions,22.8
12884,88,1,309.05,88.0,1.0,309.05,2,1,2,212,1,🌟 Champions,22.8
12885,63,3,1175.22,63.0,3.0,1175.22,3,1,4,314,1,🌟 Champions,22.8
12886,67,2,1378.4,67.0,2.0,1378.4,3,1,4,314,1,🌟 Champions,22.8
12888,214,2,354.12,214.0,2.0,354.12,1,1,2,112,0,🔔 Need Attention,8.8
12890,24,1,380.47,24.0,1.0,380.47,4,1,2,412,1,🌟 Champions,22.8
12891,185,3,331.0,185.0,3.0,331.0,1,1,2,112,0,🔔 Need Attention,8.8
12893,30,1,188.14,30.0,1.0,188.14,4,1,1,411,1,🌟 Champions,22.8
12895,42,2,372.8,42.0,2.0,372.8,3,1,2,312,1,🌟 Champions,22.8
12897,204,2,216.5,204.0,2.0,216.5,1,1,1,111,0,🔔 Need Attention,8.8
12901,8,28,17654.54,8.0,28.0,17281.158099999997,5,5,5,555,3,🌟 Champions,28.0
12902,264,1,138.68,264.0,1.0,138.68,1,1,1,111,0,🔔 Need Attention,8.8
12904,18,2,509.58,18.0,2.0,509.58,4,1,3,413,1,🌟 Champions,22.8
12906,11,5,2919.81,11.0,5.0,2919.81,5,1,5,515,1,🌟 Champions,22.8
12908,176,2,750.0,176.0,2.0,750.0,2,1,3,213,0,🔔 Need Attention,8.8
12909,39,5,2178.67,39.0,5.0,2178.67,3,1,5,315,1,🌟 Champions,22.8
12910,23,8,3075.04,23.0,8.0,3075.04,4,2,5,425,1,🌟 Champions,22.8
12912,2,5,1662.3,2.0,5.0,1662.3,5,1,4,514,1,🌟 Champions,22.8
12913,4,5,2483.63,4.0,5.0,2483.63,5,1,5,515,1,🌟 Champions,22.8
12915,148,2,363.65,148.0,2.0,363.65,2,1,2,212,0,🔔 Need Attention,8.8
12916,138,4,3006.15,138.0,4.0,3006.15,2,1,5,215,1,🌟 Champions,22.8
12917,128,1,594.0,128.0,1.0,594.0,2,1,3,213,1,🌟 Champions,22.8
12919,8,6,1335.19,8.0,6.0,1335.19,5,1,4,514,1,🌟 Champions,22.8
12920,17,1,164.23,17.0,1.0,164.23,4,1,1,411,1,🌟 Champions,22.8
12921,9,37,16587.09,9.0,29.809999999999945,16587.09,5,5,5,555,3,🌟 Champions,28.0
12922,161,1,405.38,161.0,1.0,405.38,2,1,2,212,0,🔔 Need Attention,8.8
12923,64,1,176.97,64.0,1.0,176.97,3,1,1,311,1,🌟 Champions,22.8
12924,88,4,933.7,88.0,4.0,933.7,2,1,4,214,1,🌟 Champions,22.8
12925,4,2,694.05,4.0,2.0,694.05,5,1,3,513,1,🌟 Champions,22.8
12928,35,5,2062.7000000000003,35.0,5.0,2062.7000000000003,3,1,5,315,1,🌟 Champions,22.8
12929,311,1,117.85,311.0,1.0,117.85,1,1,1,111,0,🔔 Need Attention,8.8
12930,78,2,415.8,78.0,2.0,415.8,2,1,2,212,1,🌟 Champions,22.8
12931,21,15,42055.96,21.0,15.0,17281.158099999997,4,3,5,435,3,🌟 Champions,28.0
12933,24,3,607.53,24.0,3.0,607.53,4,1,3,413,1,🌟 Champions,22.8
12935,2,7,2160.7,2.0,7.0,2160.7,5,2,5,525,1,🌟 Champions,22.8
12936,17,4,1063.9,17.0,4.0,1063.9,4,1,4,414,1,🌟 Champions,22.8
12937,15,4,1504.27,15.0,4.0,1504.27,4,1,4,414,1,🌟 Champions,22.8
12938,25,1,114.14,25.0,1.0,114.14,4,1,1,411,1,🌟 Champions,22.8
12939,64,8,11581.8,64.0,8.0,11581.8,3,2,5,325,3,🌟 Champions,28.0
12940,54,2,913.54,54.0,2.0,913.54,3,1,4,314,1,🌟 Champions,22.8
12942,131,3,683.9,131.0,3.0,683.9,2,1,3,213,1,🌟 Champions,22.8
12944,35,2,604.51,35.0,2.0,604.51,3,1,3,313,1,🌟 Champions,22.8
12945,288,1,462.95,288.0,1.0,462.95,1,1,2,112,0,🔔 Need Attention,8.8
12947,143,6,1603.99,143.0,6.0,1603.99,2,1,4,214,1,🌟 Champions,22.8
12948,16,7,2064.95,16.0,7.0,2064.95,4,2,5,425,1,🌟 Champions,22.8
12949,30,8,4167.22,30.0,8.0,4167.22,4,2,5,425,1,🌟 Champions,22.8
12950,2,3,1843.0,2.0,3.0,1843.0,5,1,4,514,1,🌟 Champions,22.8
12951,8,6,1064.07,8.0,6.0,1064.07,5,1,4,514,1,🌟 Champions,22.8
12952,5,4,1387.79,5.0,4.0,1387.79,5,1,4,514,1,🌟 Champions,22.8
12953,9,1,329.85,9.0,1.0,329.85,5,1,2,512,1,🌟 Champions,22.8
12955,1,11,4757.16,1.0,11.0,4757.16,5,2,5,525,3,🌟 Champions,28.0
12956,306,1,108.07,306.0,1.0,108.07,1,1,1,111,0,🔔 Need Attention,8.8
12957,9,8,4017.54,9.0,8.0,4017.54,5,2,5,525,1,🌟 Champions,22.8
12962,7,2,266.39,7.0,2.0,266.39,5,1,2,512,1,🌟 Champions,22.8
12963,8,8,1856.63,8.0,8.0,1856.63,5,2,4,524,1,🌟 Champions,22.8
12965,89,1,771.91,89.0,1.0,771.91,2,1,3,213,1,🌟 Champions,22.8
12966,9,1,160.18,9.0,1.0,160.18,5,1,1,511,1,🌟 Champions,22.8
12967,358,2,1660.9,358.0,2.0,1660.9,1,1,4,114,0,🔔 Need Attention,8.8
12968,112,1,135.95,112.0,1.0,135.95,2,1,1,211,1,🌟 Champions,22.8
12970,7,4,452.24,7.0,4.0,452.24,5,1,2,512,1,🌟 Champions,22.8
12971,3,86,11189.91,3.0,29.809999999999945,11189.91,5,5,5,555,2,🌟 Champions,43.5
12974,197,1,144.8,197.0,1.0,144.8,1,1,1,111,0,🔔 Need Attention,8.8
12976,211,1,738.6,211.0,1.0,738.6,1,1,3,113,0,🔔 Need Attention,8.8
12977,156,1,39.24,156.0,1.0,39.24,2,1,1,211,0,🔔 Need Attention,8.8
12980,157,9,7374.900000000001,157.0,9.0,7374.900000000001,2,2,5,225,1,🌟 Champions,22.8
12981,29,2,372.22,29.0,2.0,372.22,4,1,2,412,1,🌟 Champions,22.8
12982,242,1,390.54,242.0,1.0,390.54,1,1,2,112,0,🔔 Need Attention,8.8
12984,18,1,97.5,18.0,1.0,97.5,4,1,1,411,1,🌟 Champions,22.8
12985,0,2,1239.38,0.0,2.0,1239.38,5,1,4,514,1,🌟 Champions,22.8
12987,73,2,558.7,73.0,2.0,558.7,2,1,3,213,1,🌟 Champions,22.8
12988,292,1,535.32,292.0,1.0,535.32,1,1,3,113,0,🔔 Need Attention,8.8
12989,3,15,6924.110000000001,3.0,15.0,6924.110000000001,5,3,5,535,3,🌟 Champions,28.0
12990,31,3,409.5,31.0,3.0,409.5,4,1,2,412,1,🌟 Champions,22.8
12991,23,2,503.76,23.0,2.0,503.76,4,1,3,413,1,🌟 Champions,22.8
12993,23,4,414.76,23.0,4.0,414.76,4,1,2,412,1,🌟 Champions,22.8
12994,4,3,974.42,4.0,3.0,974.42,5,1,4,514,1,🌟 Champions,22.8
12995,85,1,211.32,85.0,1.0,211.32,2,1,1,211,1,🌟 Champions,22.8
12997,22,4,1226.89,22.0,4.0,1226.89,4,1,4,414,1,🌟 Champions,22.8
12999,196,3,455.88,196.0,3.0,455.88,1,1,2,112,0,🔔 Need Attention,8.8
13000,106,3,534.85,106.0,3.0,534.85,2,1,3,213,1,🌟 Champions,22.8
13001,4,13,9818.82,4.0,13.0,9818.82,5,3,5,535,3,🌟 Champions,28.0
13002,318,1,120.95,318.0,1.0,120.95,1,1,1,111,0,🔔 Need Attention,8.8
13003,105,3,149.05,105.0,3.0,149.05,2,1,1,211,1,🌟 Champions,22.8
13004,11,18,5655.91,11.0,18.0,5655.91,5,3,5,535,3,🌟 Champions,28.0
13005,173,2,513.7,173.0,2.0,513.7,2,1,3,213,0,🔔 Need Attention,8.8
13006,56,1,81.57,56.0,1.0,81.57,3,1,1,311,1,🌟 Champions,22.8
13008,323,1,229.47,323.0,1.0,229.47,1,1,1,111,0,🔔 Need Attention,8.8
13011,372,1,50.55,368.81,1.0,50.55,1,1,1,111,0,🔔 Need Attention,8.8
13012,9,8,1661.84,9.0,8.0,1661.84,5,2,4,524,1,🌟 Champions,22.8
13013,1,13,4810.9400000000005,1.0,13.0,4810.9400000000005,5,3,5,535,3,🌟 Champions,28.0
13014,10,10,3466.28,10.0,10.0,3466.28,5,2,5,525,1,🌟 Champions,22.8
13015,53,5,3346.28,53.0,5.0,3346.28,3,1,5,315,1,🌟 Champions,22.8
13016,73,3,789.89,73.0,3.0,789.89,2,1,3,213,1,🌟 Champions,22.8
13017,7,1,204.0,7.0,1.0,204.0,5,1,1,511,1,🌟 Champions,22.8
13018,16,28,7277.7,16.0,28.0,7277.7,4,5,5,455,3,🌟 Champions,28.0
13021,4,9,2616.38,4.0,9.0,2616.38,5,2,5,525,1,🌟 Champions,22.8
13023,64,2,689.9,64.0,2.0,689.9,3,1,3,313,1,🌟 Champions,22.8
13026,1,5,975.36,1.0,5.0,975.36,5,1,4,514,1,🌟 Champions,22.8
13027,113,6,6912.0,113.0,6.0,6912.0,2,1,5,215,1,🌟 Champions,22.8
13028,22,2,661.3199999999999,22.0,2.0,661.3199999999999,4,1,3,413,1,🌟 Champions,22.8
13029,30,3,1247.5,30.0,3.0,1247.5,4,1,4,414,1,🌟 Champions,22.8
13030,11,2,799.48,11.0,2.0,799.48,5,1,3,513,1,🌟 Champions,22.8
13032,52,2,1010.18,52.0,2.0,1010.18,3,1,4,314,1,🌟 Champions,22.8
13033,357,1,190.55,357.0,1.0,190.55,1,1,1,111,0,🔔 Need Attention,8.8
13034,54,2,642.77,54.0,2.0,642.77,3,1,3,313,1,🌟 Champions,22.8
13035,73,2,921.88,73.0,2.0,921.88,2,1,4,214,1,🌟 Champions,22.8
13037,138,3,881.07,138.0,3.0,881.07,2,1,3,213,1,🌟 Champions,22.8
13038,80,3,908.46,80.0,3.0,908.46,2,1,4,214,1,🌟 Champions,22.8
13040,8,2,676.99,8.0,2.0,676.99,5,1,3,513,1,🌟 Champions,22.8
13043,273,1,516.42,273.0,1.0,516.42,1,1,3,113,0,🔔 Need Attention,8.8
13044,291,1,560.47,291.0,1.0,560.47,1,1,3,113,0,🔔 Need Attention,8.8
13045,99,1,305.28000000000003,99.0,1.0,305.28000000000003,2,1,2,212,1,🌟 Champions,22.8
13046,30,2,629.31,30.0,2.0,629.31,4,1,3,413,1,🌟 Champions,22.8
13047,31,10,3237.54,31.0,10.0,3237.54,4,2,5,425,1,🌟 Champions,22.8
13048,14,4,1835.91,14.0,4.0,1835.91,4,1,4,414,1,🌟 Champions,22.8
13049,64,2,656.6800000000001,64.0,2.0,656.6800000000001,3,1,3,313,1,🌟 Champions,22.8
13050,14,17,5836.86,14.0,17.0,5836.86,4,3,5,435,3,🌟 Champions,28.0
13052,212,1,348.15000000000003,212.0,1.0,348.15000000000003,1,1,2,112,0,🔔 Need Attention,8.8
13055,78,3,1214.41,78.0,3.0,1214.41,2,1,4,214,1,🌟 Champions,22.8
13058,24,3,271.40000000000003,24.0,3.0,271.40000000000003,4,1,2,412,1,🌟 Champions,22.8
13059,249,1,183.4,249.0,1.0,183.4,1,1,1,111,0,🔔 Need Attention,8.8
13060,253,1,307.53,253.0,1.0,307.53,1,1,2,112,0,🔔 Need Attention,8.8
13061,72,1,248.61,72.0,1.0,248.61,2,1,2,212,1,🌟 Champions,22.8
13062,191,1,346.98,191.0,1.0,346.98,1,1,2,112,0,🔔 Need Attention,8.8
13064,12,4,1119.49,12.0,4.0,1119.49,5,1,4,514,1,🌟 Champions,22.8
13065,373,1,205.86,368.81,1.0,205.86,1,1,1,111,0,🔔 Need Attention,8.8
13066,24,2,470.8,24.0,2.0,470.8,4,1,3,413,1,🌟 Champions,22.8
13067,82,1,115.46,82.0,1.0,115.46,2,1,1,211,1,🌟 Champions,22.8
13068,10,2,344.0,10.0,2.0,344.0,5,1,2,512,1,🌟 Champions,22.8
13069,0,24,4436.12,0.0,24.0,4436.12,5,4,5,545,3,🌟 Champions,28.0
13070,192,1,228.8,192.0,1.0,228.8,1,1,1,111,0,🔔 Need Attention,8.8
13072,266,1,177.15,266.0,1.0,177.15,1,1,1,111,0,🔔 Need Attention,8.8
13075,129,1,919.61,129.0,1.0,919.61,2,1,4,214,1,🌟 Champions,22.8
13077,1,4,729.27,1.0,4.0,729.27,5,1,3,513,1,🌟 Champions,22.8
13078,3,26,12627.94,3.0,26.0,12627.94,5,5,5,555,3,🌟 Champions,28.0
13079,4,5,220.1,4.0,5.0,220.1,5,1,1,511,1,🌟 Champions,22.8
13080,179,1,58.08,179.0,1.0,58.08,1,1,1,111,0,🔔 Need Attention,8.8
13081,11,11,28337.38,11.0,11.0,17281.158099999997,5,2,5,525,3,🌟 Champions,28.0
13082,126,9,3613.63,126.0,9.0,3613.63,2,2,5,225,1,🌟 Champions,22.8
13083,4,2,303.75,4.0,2.0,303.75,5,1,2,512,1,🌟 Champions,22.8
13085,157,2,416.08,157.0,2.0,416.08,2,1,2,212,0,🔔 Need Attention,8.8
13089,2,97,58825.83,2.0,29.809999999999945,17281.158099999997,5,5,5,555,2,🌟 Champions,43.5
13090,8,14,8910.82,8.0,14.0,8910.82,5,3,5,535,3,🌟 Champions,28.0
13091,28,1,345.82,28.0,1.0,345.82,4,1,2,412,1,🌟 Champions,22.8
13092,70,5,477.83,70.0,5.0,477.83,3,1,3,313,1,🌟 Champions,22.8
13093,275,8,7832.47,275.0,8.0,7832.47,1,2,5,125,0,🔔 Need Attention,8.8
13094,21,12,1927.32,21.0,12.0,1927.32,4,2,4,424,3,🌟 Champions,28.0
13095,70,1,74.39999999999999,70.0,1.0,74.39999999999999,3,1,1,311,1,🌟 Champions,22.8
13097,32,10,6010.42,32.0,10.0,6010.42,4,2,5,425,3,🌟 Champions,28.0
13098,1,28,28882.44,1.0,28.0,17281.158099999997,5,5,5,555,3,🌟 Champions,28.0
13099,99,1,207.36,99.0,1.0,207.36,2,1,1,211,1,🌟 Champions,22.8
13101,234,1,101.19,234.0,1.0,101.19,1,1,1,111,0,🔔 Need Attention,8.8
13102,1,24,6424.09,1.0,24.0,6424.09,5,4,5,545,3,🌟 Champions,28.0
13103,39,1,243.94,39.0,1.0,243.94,3,1,2,312,1,🌟 Champions,22.8
13104,3,6,1098.48,3.0,6.0,1098.48,5,1,4,514,1,🌟 Champions,22.8
13106,133,1,76.5,133.0,1.0,76.5,2,1,1,211,1,🌟 Champions,22.8
13107,44,4,1531.62,44.0,4.0,1531.62,3,1,4,314,1,🌟 Champions,22.8
13108,372,1,350.06,368.81,1.0,350.06,1,1,2,112,0,🔔 Need Attention,8.8
13109,59,2,786.54,59.0,2.0,786.54,3,1,3,313,1,🌟 Champions,22.8
13110,31,7,1488.67,31.0,7.0,1488.67,4,2,4,424,1,🌟 Champions,22.8
13113,0,24,12245.96,0.0,24.0,12245.96,5,4,5,545,3,🌟 Champions,28.0
13115,11,4,2294.78,11.0,4.0,2294.78,5,1,5,515,1,🌟 Champions,22.8
13116,138,1,501.14,138.0,1.0,501.14,2,1,3,213,1,🌟 Champions,22.8
13117,21,8,984.91,21.0,8.0,984.91,4,2,4,424,1,🌟 Champions,22.8
13118,19,5,1197.81,19.0,5.0,1197.81,4,1,4,414,1,🌟 Champions,22.8
13120,238,1,30.6,238.0,1.0,30.6,1,1,1,111,0,🔔 Need Attention,8.8
13121,269,1,283.73,269.0,1.0,283.73,1,1,2,112,0,🔔 Need Attention,8.8
13122,94,2,922.39,94.0,2.0,922.39,2,1,4,214,1,🌟 Champions,22.8
13124,89,3,3866.33,89.0,3.0,3866.33,2,1,5,215,1,🌟 Champions,22.8
13126,4,8,2099.64,4.0,8.0,2099.64,5,2,5,525,1,🌟 Champions,22.8
13127,77,1,259.17,77.0,1.0,259.17,2,1,2,212,1,🌟 Champions,22.8
13130,94,1,64.0,94.0,1.0,64.0,2,1,1,211,1,🌟 Champions,22.8
13131,23,3,1073.3,23.0,3.0,1073.3,4,1,4,414,1,🌟 Champions,22.8
13132,261,1,77.3,261.0,1.0,77.3,1,1,1,111,0,🔔 Need Attention,8.8
13133,273,2,109.8,273.0,2.0,109.8,1,1,1,111,0,🔔 Need Attention,8.8
13134,85,4,1793.58,85.0,4.0,1793.58,2,1,4,214,1,🌟 Champions,22.8
13135,196,1,3096.0,196.0,1.0,3096.0,1,1,5,115,0,🔔 Need Attention,8.8
13136,56,5,2607.61,56.0,5.0,2607.61,3,1,5,315,1,🌟 Champions,22.8
13137,10,8,3650.41,10.0,8.0,3650.41,5,2,5,525,1,🌟 Champions,22.8
13138,22,6,962.39,22.0,6.0,962.39,4,1,4,414,1,🌟 Champions,22.8
13139,16,7,5064.94,16.0,7.0,5064.94,4,2,5,425,1,🌟 Champions,22.8
13140,108,3,423.72,108.0,3.0,423.72,2,1,2,212,1,🌟 Champions,22.8
13141,84,5,2388.75,84.0,5.0,2388.75,2,1,5,215,1,🌟 Champions,22.8
13142,19,1,307.09,19.0,1.0,307.09,4,1,2,412,1,🌟 Champions,22.8
13144,332,1,110.95,332.0,1.0,110.95,1,1,1,111,0,🔔 Need Attention,8.8
13145,39,4,618.52,39.0,4.0,618.52,3,1,3,313,1,🌟 Champions,22.8
13146,26,1,228.91,26.0,1.0,228.91,4,1,1,411,1,🌟 Champions,22.8
13147,10,4,712.8000000000001,10.0,4.0,712.8000000000001,5,1,3,513,1,🌟 Champions,22.8
13148,29,12,3707.12,29.0,12.0,3707.12,4,2,5,425,3,🌟 Champions,28.0
13149,14,4,1676.06,14.0,4.0,1676.06,4,1,4,414,1,🌟 Champions,22.8
13151,295,1,1257.87,295.0,1.0,1257.87,1,1,4,114,0,🔔 Need Attention,8.8
13153,5,1,486.22,5.0,1.0,486.22,5,1,3,513,1,🌟 Champions,22.8
13155,33,4,971.76,33.0,4.0,971.76,3,1,4,314,1,🌟 Champions,22.8
13157,49,4,1741.22,49.0,4.0,1741.22,3,1,4,314,1,🌟 Champions,22.8
13158,94,4,1201.06,94.0,4.0,1201.06,2,1,4,214,1,🌟 Champions,22.8
13159,8,4,1437.85,8.0,4.0,1437.85,5,1,4,514,1,🌟 Champions,22.8
13160,22,1,91.8,22.0,1.0,91.8,4,1,1,411,1,🌟 Champions,22.8
13161,313,1,112.75,313.0,1.0,112.75,1,1,1,111,0,🔔 Need Attention,8.8
13162,122,4,1688.29,122.0,4.0,1688.29,2,1,4,214,1,🌟 Champions,22.8
13165,46,2,1021.48,46.0,2.0,1021.48,3,1,4,314,1,🌟 Champions,22.8
13166,283,1,417.2,283.0,1.0,417.2,1,1,2,112,0,🔔 Need Attention,8.8
13167,18,4,791.33,18.0,4.0,791.33,4,1,3,413,1,🌟 Champions,22.8
13168,36,4,1319.19,36.0,4.0,1319.19,3,1,4,314,1,🌟 Champions,22.8
13169,63,2,712.88,63.0,2.0,712.88,3,1,3,313,1,🌟 Champions,22.8
13170,26,1,116.01,26.0,1.0,116.01,4,1,1,411,1,🌟 Champions,22.8
13171,21,3,468.41,21.0,3.0,468.41,4,1,3,413,1,🌟 Champions,22.8
13173,4,2,353.65,4.0,2.0,353.65,5,1,2,512,1,🌟 Champions,22.8
13174,16,3,2817.03,16.0,3.0,2817.03,4,1,5,415,1,🌟 Champions,22.8
13176,46,1,492.84,46.0,1.0,492.84,3,1,3,313,1,🌟 Champions,22.8
13177,64,1,282.45,64.0,1.0,282.45,3,1,2,312,1,🌟 Champions,22.8
13178,26,11,5725.47,26.0,11.0,5725.47,4,2,5,425,3,🌟 Champions,28.0
13182,45,1,121.18,45.0,1.0,121.18,3,1,1,311,1,🌟 Champions,22.8
13183,7,9,3957.78,7.0,9.0,3957.78,5,2,5,525,1,🌟 Champions,22.8
13184,14,10,1701.29,14.0,10.0,1701.29,4,2,4,424,1,🌟 Champions,22.8
13185,267,1,71.4,267.0,1.0,71.4,1,1,1,111,0,🔔 Need Attention,8.8
13186,39,3,1575.89,39.0,3.0,1575.89,3,1,4,314,1,🌟 Champions,22.8
13187,337,1,236.02,337.0,1.0,236.02,1,1,1,111,0,🔔 Need Attention,8.8
13188,11,1,114.6,11.0,1.0,114.6,5,1,1,511,1,🌟 Champions,22.8
13189,18,2,260.68,18.0,2.0,260.68,4,1,2,412,1,🌟 Champions,22.8
13192,95,2,911.94,95.0,2.0,911.94,2,1,4,214,1,🌟 Champions,22.8
13193,61,1,117.88,61.0,1.0,117.88,3,1,1,311,1,🌟 Champions,22.8
13194,135,1,60.7,135.0,1.0,60.7,2,1,1,211,1,🌟 Champions,22.8
13196,11,4,1797.78,11.0,4.0,1797.78,5,1,4,514,1,🌟 Champions,22.8
13198,10,6,3401.24,10.0,6.0,3401.24,5,1,5,515,1,🌟 Champions,22.8
13199,3,38,9817.12,3.0,29.809999999999945,9817.12,5,5,5,555,3,🌟 Champions,28.0
13200,19,4,870.09,19.0,4.0,870.09,4,1,3,413,1,🌟 Champions,22.8
13203,9,4,869.46,9.0,4.0,869.46,5,1,3,513,1,🌟 Champions,22.8
13207,15,2,250.26,15.0,2.0,250.26,4,1,2,412,1,🌟 Champions,22.8
13208,58,6,1223.9,58.0,6.0,1223.9,3,1,4,314,1,🌟 Champions,22.8
13209,30,8,5891.61,30.0,8.0,5891.61,4,2,5,425,1,🌟 Champions,22.8
13210,93,1,353.48,93.0,1.0,353.48,2,1,2,212,1,🌟 Champions,22.8
13211,10,3,1197.42,10.0,3.0,1197.42,5,1,4,514,1,🌟 Champions,22.8
13212,19,3,788.08,19.0,3.0,788.08,4,1,3,413,1,🌟 Champions,22.8
13213,56,5,1520.58,56.0,5.0,1520.58,3,1,4,314,1,🌟 Champions,22.8
13216,267,1,333.74,267.0,1.0,333.74,1,1,2,112,0,🔔 Need Attention,8.8
13217,122,3,533.98,122.0,3.0,533.98,2,1,3,213,1,🌟 Champions,22.8
13218,127,1,62.63999999999999,127.0,1.0,62.63999999999999,2,1,1,211,1,🌟 Champions,22.8
13220,78,4,819.2900000000001,78.0,4.0,819.2900000000001,2,1,3,213,1,🌟 Champions,22.8
13221,240,2,847.41,240.0,2.0,847.41,1,1,3,113,0,🔔 Need Attention,8.8
13223,200,2,163.20000000000002,200.0,2.0,163.20000000000002,1,1,1,111,0,🔔 Need Attention,8.8
13224,60,2,2155.95,60.0,2.0,2155.95,3,1,5,315,1,🌟 Champions,22.8
13225,3,7,6463.84,3.0,7.0,6463.84,5,2,5,525,1,🌟 Champions,22.8
13226,273,1,108.21,273.0,1.0,108.21,1,1,1,111,0,🔔 Need Attention,8.8
13227,201,1,257.7,201.0,1.0,257.7,1,1,2,112,0,🔔 Need Attention,8.8
13228,81,1,358.0,81.0,1.0,358.0,2,1,2,212,1,🌟 Champions,22.8
