customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Segment_Name,Value_Score
C00045,10,7,1387.5,4,2,2,422,1,🔔 Need Attention,39.6
C00046,14,7,1024.5,3,2,1,321,1,🔔 Need Attention,39.6
C00047,6,7,486.0,5,2,1,521,1,🔔 Need Attention,39.6
C00048,24,6,1084.0,2,1,2,212,1,🔔 Need Attention,39.6
C00049,28,14,3816.0,2,5,4,254,0,🌟 Champions,58.5
C00050,112,3,741.0,1,1,1,111,2,😴 Hibernating,25.6
C00051,17,9,2585.0,3,3,3,333,1,🔔 Need Attention,39.6
C00052,4,18,6557.22,5,5,5,555,0,🌟 Champions,58.5
C00053,24,8,3539.0,2,2,4,224,1,🔔 Need Attention,39.6
C00054,74,11,2038.0,1,4,3,143,2,😴 Hibernating,25.6
C00055,5,17,7272.23,5,5,5,555,0,🌟 Champions,58.5
C00056,26,11,2115.76,2,4,3,243,1,🔔 Need Attention,39.6
C00057,14,6,2211.0,3,1,3,313,1,🔔 Need Attention,39.6
C00058,40,3,415.33,1,1,1,111,2,😴 Hibernating,25.6
C00059,6,9,2183.25,5,3,3,533,1,🔔 Need Attention,39.6
C00060,116,7,2975.0,1,2,4,124,2,😴 Hibernating,25.6
C00061,23,8,1435.0,2,2,2,222,1,🔔 Need Attention,39.6
C00062,17,18,3265.4,3,5,4,354,0,🌟 Champions,58.5
C00063,59,8,3693.0,1,2,4,124,2,😴 Hibernating,25.6
C00064,31,19,5010.84,2,5,5,255,0,🌟 Champions,58.5
C00065,11,8,3106.8,4,2,4,424,1,🔔 Need Attention,39.6
C00066,40,8,1468.0,1,2,2,122,1,🔔 Need Attention,39.6
C00067,25,2,358.0,2,1,1,211,1,🔔 Need Attention,39.6
C00068,20,12,3735.1,3,4,4,344,0,🌟 Champions,58.5
C00069,6,15,5238.0,5,5,5,555,0,🌟 Champions,58.5
C00070,11,8,4264.1,4,2,5,425,1,🔔 Need Attention,39.6
C00071,4,14,2482.17,5,5,3,553,0,🌟 Champions,58.5
C00072,4,19,5879.0,5,5,5,555,0,🌟 Champions,58.5
C00073,4,8,2678.9,5,2,3,523,1,🔔 Need Attention,39.6
C00074,89,2,635.0,1,1,1,111,2,😴 Hibernating,25.6
C00075,48,4,1775.0,1,1,2,112,2,😴 Hibernating,25.6
C00076,16,7,1373.0,3,2,2,322,1,🔔 Need Attention,39.6
C00077,2,14,1909.2,5,5,3,553,0,🌟 Champions,58.5
C00078,64,9,1712.0,1,3,2,132,2,😴 Hibernating,25.6
C00079,16,13,2262.08,3,4,3,343,0,🌟 Champions,58.5
C00080,3,4,1871.0,5,1,2,512,1,🔔 Need Attention,39.6
C00081,2,6,1002.25,5,1,1,511,1,🔔 Need Attention,39.6
C00082,28,7,4850.0,2,2,5,225,1,🔔 Need Attention,39.6
C00083,24,17,4310.8,2,5,5,255,0,🌟 Champions,58.5
C00084,32,6,852.0,2,1,1,211,1,🔔 Need Attention,39.6
C00085,41,9,1739.74,1,3,2,132,1,🔔 Need Attention,39.6
C00086,97,2,347.0,1,1,1,111,2,😴 Hibernating,25.6
C00087,23,6,3667.0,2,1,4,214,1,🔔 Need Attention,39.6
C00088,14,8,2423.0,3,2,3,323,1,🔔 Need Attention,39.6
C00089,52,6,5537.0,1,1,5,115,2,😴 Hibernating,25.6
C00090,7,7,1557.5,4,2,2,422,1,🔔 Need Attention,39.6
C00091,10,9,3070.0,4,3,4,434,1,🔔 Need Attention,39.6
C00092,8,9,3177.75,4,3,4,434,1,🔔 Need Attention,39.6
C00093,26,19,4418.0,2,5,5,255,0,🌟 Champions,58.5
C00094,12,6,1064.5,4,1,1,411,1,🔔 Need Attention,39.6
C00095,3,11,1887.1,5,4,2,542,1,🔔 Need Attention,39.6
C00096,7,15,4148.6,4,5,4,454,0,🌟 Champions,58.5
C00097,20,14,2280.0,3,5,3,353,0,🌟 Champions,58.5
C00098,49,13,3242.6,1,4,4,144,0,🌟 Champions,58.5
C00099,9,19,7140.5,4,5,5,455,0,🌟 Champions,58.5
C00100,15,12,1820.0,3,4,2,342,1,🔔 Need Attention,39.6
C00101,29,7,2137.3,2,2,3,223,1,🔔 Need Attention,39.6
C00102,18,8,2425.6,3,2,3,323,1,🔔 Need Attention,39.6
C00103,5,3,966.04,5,1,1,511,1,🔔 Need Attention,39.6
C00104,12,18,6653.32,4,5,5,455,0,🌟 Champions,58.5
C00105,19,18,3590.5,3,5,4,354,0,🌟 Champions,58.5
C00106,11,13,1105.0,4,4,2,442,1,🔔 Need Attention,39.6
C00107,6,7,3200.77,5,2,4,524,1,🔔 Need Attention,39.6
C00108,15,12,3820.2,3,4,4,344,0,🌟 Champions,58.5
C00109,4,17,4706.1,5,5,5,555,0,🌟 Champions,58.5
C00110,11,18,4114.15,4,5,4,454,0,🌟 Champions,58.5
C00111,3,15,3477.71,5,5,4,554,0,🌟 Champions,58.5
C00112,3,9,4556.0,5,3,5,535,0,🌟 Champions,58.5
C00113,4,12,3374.01,5,4,4,544,0,🌟 Champions,58.5
C00114,9,18,5639.25,4,5,5,455,0,🌟 Champions,58.5
C00115,61,8,2225.42,1,2,3,123,2,😴 Hibernating,25.6
C00116,14,15,3446.08,3,5,4,354,0,🌟 Champions,58.5
C00117,120,3,1310.0,1,1,2,112,2,😴 Hibernating,25.6
C00118,16,9,1520.0,3,3,2,332,1,🔔 Need Attention,39.6
C00119,37,8,1722.0,1,2,2,122,1,🔔 Need Attention,39.6
C00120,75,2,268.0,1,1,1,111,2,😴 Hibernating,25.6
C00121,6,16,4192.8,5,5,5,555,0,🌟 Champions,58.5
C00122,9,9,1612.0,4,3,2,432,1,🔔 Need Attention,39.6
C00123,2,13,1646.0,5,4,2,542,1,🔔 Need Attention,39.6
C00124,4,6,1297.0,5,1,2,512,1,🔔 Need Attention,39.6
C00125,5,11,3174.7,5,4,4,544,0,🌟 Champions,58.5
C00126,10,7,1112.0,4,2,2,422,1,🔔 Need Attention,39.6
C00127,12,12,2136.0,4,4,3,443,1,🔔 Need Attention,39.6
C00128,95,2,590.0,1,1,1,111,2,😴 Hibernating,25.6
C00129,23,11,3734.83,2,4,4,244,0,🌟 Champions,58.5
C00130,37,5,1088.0,1,1,2,112,1,🔔 Need Attention,39.6
C00131,33,6,1537.0,2,1,2,212,1,🔔 Need Attention,39.6
C00132,14,9,2351.96,3,3,3,333,1,🔔 Need Attention,39.6
C00133,38,4,444.0,1,1,1,111,1,🔔 Need Attention,39.6
C00134,50,5,500.4,1,1,1,111,2,😴 Hibernating,25.6
C00135,5,14,2876.8,5,5,4,554,0,🌟 Champions,58.5
C00136,9,15,7837.0,4,5,5,455,0,🌟 Champions,58.5
C00137,34,10,4339.38,2,3,5,235,0,🌟 Champions,58.5
C00138,34,2,380.0,2,1,1,211,1,🔔 Need Attention,39.6
C00139,9,13,2899.65,4,4,4,444,0,🌟 Champions,58.5
C00140,16,8,3043.3,3,2,4,324,1,🔔 Need Attention,39.6
C00141,20,12,1992.01,3,4,3,343,1,🔔 Need Attention,39.6
C00142,39,9,890.0,1,3,1,131,1,🔔 Need Attention,39.6
C00143,42,13,3254.8,1,4,4,144,0,🌟 Champions,58.5
C00144,32,11,4568.15,2,4,5,245,0,🌟 Champions,58.5
C00145,58,7,5767.26,1,2,5,125,2,😴 Hibernating,25.6
C00146,10,4,422.5,4,1,1,411,1,🔔 Need Attention,39.6
C00147,20,9,3422.5,3,3,4,334,1,🔔 Need Attention,39.6
C00148,4,10,2305.51,5,3,3,533,1,🔔 Need Attention,39.6
C00149,15,12,2027.31,3,4,3,343,1,🔔 Need Attention,39.6
C00150,35,3,728.0,1,1,1,111,1,🔔 Need Attention,39.6
C00151,17,13,3466.4,3,4,4,344,0,🌟 Champions,58.5
C00152,115,2,1077.8,1,1,2,112,2,😴 Hibernating,25.6
C00153,3,17,4758.52,5,5,5,555,0,🌟 Champions,58.5
C00154,11,8,1754.04,4,2,2,422,1,🔔 Need Attention,39.6
C00155,15,7,1114.16,3,2,2,322,1,🔔 Need Attention,39.6
C00156,20,7,1232.4,3,2,2,322,1,🔔 Need Attention,39.6
C00157,28,15,5380.0,2,5,5,255,0,🌟 Champions,58.5
C00158,38,2,266.75,1,1,1,111,2,😴 Hibernating,25.6
C00159,2,15,4504.0,5,5,5,555,0,🌟 Champions,58.5
C00160,2,10,3606.0,5,3,4,534,0,🌟 Champions,58.5
C00161,41,7,3149.0,1,2,4,124,1,🔔 Need Attention,39.6
C00162,26,14,5362.57,2,5,5,255,0,🌟 Champions,58.5
C00163,24,12,4802.99,2,4,5,245,0,🌟 Champions,58.5
C00164,36,11,960.0,1,4,1,141,1,🔔 Need Attention,39.6
C00165,9,10,3914.0,4,3,4,434,0,🌟 Champions,58.5
C00166,35,5,1723.3,1,1,2,112,1,🔔 Need Attention,39.6
C00167,3,15,3975.3,5,5,4,554,0,🌟 Champions,58.5
C00168,73,3,483.9,1,1,1,111,2,😴 Hibernating,25.6
C00169,21,15,4102.2,2,5,4,254,0,🌟 Champions,58.5
C00170,9,3,1629.0,4,1,2,412,1,🔔 Need Attention,39.6
C00171,86,2,410.0,1,1,1,111,2,😴 Hibernating,25.6
C00172,19,10,740.0,3,3,1,331,1,🔔 Need Attention,39.6
C00173,2,19,5494.21,5,5,5,555,0,🌟 Champions,58.5
C00174,6,8,2251.8,5,2,3,523,1,🔔 Need Attention,39.6
C00175,7,3,1221.52,4,1,2,412,1,🔔 Need Attention,39.6
C00176,3,8,1930.0,5,2,3,523,1,🔔 Need Attention,39.6
C00177,19,3,2210.95,3,1,3,313,1,🔔 Need Attention,39.6
C00178,17,12,1902.1,3,4,3,343,1,🔔 Need Attention,39.6
C00179,30,2,341.8,2,1,1,211,1,🔔 Need Attention,39.6
C00180,18,5,1802.0,3,1,2,312,1,🔔 Need Attention,39.6
C00181,23,9,1536.12,2,3,2,232,1,🔔 Need Attention,39.6
C00182,17,14,4633.4,3,5,5,355,0,🌟 Champions,58.5
C00183,3,9,1741.45,5,3,2,532,1,🔔 Need Attention,39.6
C00184,11,10,2385.15,4,3,3,433,1,🔔 Need Attention,39.6
C00185,101,4,582.0,1,1,1,111,2,😴 Hibernating,25.6
C00186,68,3,170.0,1,1,1,111,2,😴 Hibernating,25.6
C00187,24,6,841.0,2,1,1,211,1,🔔 Need Attention,39.6
C00188,25,3,263.0,2,1,1,211,1,🔔 Need Attention,39.6
C00189,14,6,466.2,3,1,1,311,1,🔔 Need Attention,39.6
C00190,30,13,2827.5,2,4,3,243,0,🌟 Champions,58.5
C00191,3,16,7914.21,5,5,5,555,0,🌟 Champions,58.5
C00192,20,4,696.0,3,1,1,311,1,🔔 Need Attention,39.6
C00193,7,13,4464.470000000001,4,4,5,445,0,🌟 Champions,58.5
C00194,5,6,1008.0,5,1,1,511,1,🔔 Need Attention,39.6
C00195,9,6,1332.0,4,1,2,412,1,🔔 Need Attention,39.6
C00196,24,7,1018.3,2,2,1,221,1,🔔 Need Attention,39.6
C00197,7,17,3575.61,4,5,4,454,0,🌟 Champions,58.5
C00198,35,9,497.0,1,3,1,131,1,🔔 Need Attention,39.6
C00199,3,5,2338.3,5,1,3,513,1,🔔 Need Attention,39.6
C00200,6,8,2688.0,5,2,3,523,1,🔔 Need Attention,39.6
C00201,36,10,5953.78,1,3,5,135,0,🌟 Champions,58.5
C00202,12,7,1700.86,4,2,2,422,1,🔔 Need Attention,39.6
C00203,38,6,4376.0,1,1,5,115,1,🔔 Need Attention,39.6
C00204,25,15,3766.0,2,5,4,254,0,🌟 Champions,58.5
C00205,3,17,3453.3,5,5,4,554,0,🌟 Champions,58.5
C00206,27,2,305.0,2,1,1,211,1,🔔 Need Attention,39.6
C00207,21,9,3028.0,2,3,4,234,1,🔔 Need Attention,39.6
C00208,3,18,4010.85,5,5,4,554,0,🌟 Champions,58.5
C00209,29,8,1349.0,2,2,2,222,1,🔔 Need Attention,39.6
C00210,4,16,3430.0,5,5,4,554,0,🌟 Champions,58.5
C00211,11,15,4173.5,4,5,5,455,0,🌟 Champions,58.5
C00212,19,10,6721.5,3,3,5,335,0,🌟 Champions,58.5
C00213,14,8,3284.9,3,2,4,324,1,🔔 Need Attention,39.6
C00214,30,9,3165.0,2,3,4,234,1,🔔 Need Attention,39.6
C00215,4,19,7244.73,5,5,5,555,0,🌟 Champions,58.5
C00216,4,15,5412.0,5,5,5,555,0,🌟 Champions,58.5
C00217,43,10,2035.84,1,3,3,133,1,🔔 Need Attention,39.6
C00218,51,8,1897.12,1,2,2,122,2,😴 Hibernating,25.6
C00219,3,4,493.0,5,1,1,511,1,🔔 Need Attention,39.6
C00220,33,9,1052.97,2,3,1,231,1,🔔 Need Attention,39.6
C00221,8,3,902.0,4,1,1,411,1,🔔 Need Attention,39.6
C00222,19,11,5127.0,3,4,5,345,0,🌟 Champions,58.5
C00223,60,9,2927.0,1,3,4,134,2,😴 Hibernating,25.6
C00224,7,12,2586.48,4,4,3,443,0,🌟 Champions,58.5
C00225,34,11,4781.46,2,4,5,245,0,🌟 Champions,58.5
C00226,17,12,3835.52,3,4,4,344,0,🌟 Champions,58.5
C00227,23,6,1220.5,2,1,2,212,1,🔔 Need Attention,39.6
C00228,53,8,2533.0,1,2,3,123,2,😴 Hibernating,25.6
C00229,25,14,3521.5,2,5,4,254,0,🌟 Champions,58.5
C00230,30,12,4581.0,2,4,5,245,0,🌟 Champions,58.5
C00231,59,6,1276.0,1,1,2,112,2,😴 Hibernating,25.6
C00232,18,7,749.0,3,2,1,321,1,🔔 Need Attention,39.6
C00233,9,8,1112.0,4,2,2,422,1,🔔 Need Attention,39.6
C00234,6,15,5068.05,5,5,5,555,0,🌟 Champions,58.5
C00235,16,14,6023.57,3,5,5,355,0,🌟 Champions,58.5
C00236,11,7,2219.0,4,2,3,423,1,🔔 Need Attention,39.6
C00237,11,13,7920.0,4,4,5,445,0,🌟 Champions,58.5
C00238,147,2,145.0,1,1,1,111,2,😴 Hibernating,25.6
C00239,30,7,1142.37,2,2,2,222,1,🔔 Need Attention,39.6
C00240,21,10,1588.0,2,3,2,232,1,🔔 Need Attention,39.6
C00241,22,15,2976.0,2,5,4,254,0,🌟 Champions,58.5
C00242,24,16,6155.4,2,5,5,255,0,🌟 Champions,58.5
C00243,34,4,1138.3,2,1,2,212,1,🔔 Need Attention,39.6
C00244,16,10,2052.0,3,3,3,333,1,🔔 Need Attention,39.6
C00245,10,12,3013.1,4,4,4,444,0,🌟 Champions,58.5
C00246,15,12,3101.09,3,4,4,344,0,🌟 Champions,58.5
C00247,13,10,3234.0,3,3,4,334,1,🔔 Need Attention,39.6
C00248,2,13,2237.07,5,4,3,543,0,🌟 Champions,58.5
C00249,5,15,2975.72,5,5,4,554,0,🌟 Champions,58.5
C00250,3,12,3055.7,5,4,4,544,0,🌟 Champions,58.5
C00251,24,15,4928.91,2,5,5,255,0,🌟 Champions,58.5
C00252,41,2,896.0,1,1,1,111,2,😴 Hibernating,25.6
C00253,2,4,2381.8,5,1,3,513,1,🔔 Need Attention,39.6
C00254,19,10,3765.72,3,3,4,334,0,🌟 Champions,58.5
C00255,31,6,723.4,2,1,1,211,1,🔔 Need Attention,39.6
C00256,35,11,1887.24,1,4,2,142,1,🔔 Need Attention,39.6
C00257,31,8,2035.75,2,2,3,223,1,🔔 Need Attention,39.6
C00258,5,17,4257.65,5,5,5,555,0,🌟 Champions,58.5
C00259,51,7,889.3,1,2,1,121,2,😴 Hibernating,25.6
C00260,50,7,404.25,1,2,1,121,2,😴 Hibernating,25.6
C00261,7,14,3374.8,4,5,4,454,0,🌟 Champions,58.5
C00262,35,5,4946.5,1,1,5,115,1,🔔 Need Attention,39.6
C00263,33,8,2651.0,2,2,3,223,1,🔔 Need Attention,39.6
C00264,14,9,3337.19,3,3,4,334,1,🔔 Need Attention,39.6
C00265,41,5,1227.0,1,1,2,112,1,🔔 Need Attention,39.6
C00266,10,19,5269.35,4,5,5,455,0,🌟 Champions,58.5
C00267,33,6,996.0,2,1,1,211,1,🔔 Need Attention,39.6
C00268,76,7,5124.2,1,2,5,125,2,😴 Hibernating,25.6
C00269,4,8,3623.3,5,2,4,524,1,🔔 Need Attention,39.6
C00270,5,10,3084.95,5,3,4,534,1,🔔 Need Attention,39.6
C00271,34,11,1221.31,2,4,2,242,1,🔔 Need Attention,39.6
C00272,20,13,3156.73,3,4,4,344,0,🌟 Champions,58.5
C00273,17,3,303.0,3,1,1,311,1,🔔 Need Attention,39.6
C00274,15,8,1764.0700000000002,3,2,2,322,1,🔔 Need Attention,39.6
C00275,7,11,5194.0,4,4,5,445,0,🌟 Champions,58.5
C00276,3,7,784.0,5,2,1,521,1,🔔 Need Attention,39.6
C00277,20,5,1434.0,3,1,2,312,1,🔔 Need Attention,39.6
C00278,19,4,3282.0,3,1,4,314,1,🔔 Need Attention,39.6
C00279,12,13,3383.0,4,4,4,444,0,🌟 Champions,58.5
C00280,12,7,1684.0,4,2,2,422,1,🔔 Need Attention,39.6
C00281,10,18,4118.6,4,5,4,454,0,🌟 Champions,58.5
C00282,24,6,938.0,2,1,1,211,1,🔔 Need Attention,39.6
C00283,39,15,4885.77,1,5,5,155,0,🌟 Champions,58.5
C00284,16,9,2379.96,3,3,3,333,1,🔔 Need Attention,39.6
C00285,5,14,5088.08,5,5,5,555,0,🌟 Champions,58.5
C00286,3,9,2165.0,5,3,3,533,1,🔔 Need Attention,39.6
C00287,23,7,747.0,2,2,1,221,1,🔔 Need Attention,39.6
C00288,6,14,2996.2,5,5,4,554,0,🌟 Champions,58.5
C00289,21,7,3499.0,2,2,4,224,1,🔔 Need Attention,39.6
C00290,28,8,4084.35,2,2,4,224,1,🔔 Need Attention,39.6
C00291,30,12,1054.0,2,4,1,241,1,🔔 Need Attention,39.6
C00292,6,20,6477.19,5,5,5,555,0,🌟 Champions,58.5
C00293,15,8,1546.9,3,2,2,322,1,🔔 Need Attention,39.6
C00294,2,11,1886.15,5,4,2,542,1,🔔 Need Attention,39.6
C00295,6,10,1712.0,5,3,2,532,1,🔔 Need Attention,39.6
C00296,29,9,1881.0,2,3,2,232,1,🔔 Need Attention,39.6
C00297,16,13,5566.55,3,4,5,345,0,🌟 Champions,58.5
C00298,25,6,2595.0,2,1,3,213,1,🔔 Need Attention,39.6
C00299,26,14,4368.0,2,5,5,255,0,🌟 Champions,58.5
C00300,16,12,3141.5,3,4,4,344,0,🌟 Champions,58.5
C00301,26,17,3466.56,2,5,4,254,0,🌟 Champions,58.5
C00302,22,7,824.3,2,2,1,221,1,🔔 Need Attention,39.6
C00303,10,9,2363.0,4,3,3,433,1,🔔 Need Attention,39.6
C00304,34,5,2534.0,2,1,3,213,1,🔔 Need Attention,39.6
C00305,26,6,1422.6,2,1,2,212,1,🔔 Need Attention,39.6
C00306,32,5,783.0,2,1,1,211,1,🔔 Need Attention,39.6
C00307,9,6,1246.0,4,1,2,412,1,🔔 Need Attention,39.6
C00308,102,15,2876.0,1,5,4,154,2,😴 Hibernating,25.6
C00309,6,15,4158.3,5,5,4,554,0,🌟 Champions,58.5
C00310,57,8,1152.0,1,2,2,122,2,😴 Hibernating,25.6
C00311,6,9,1072.0,5,3,1,531,1,🔔 Need Attention,39.6
C00312,44,17,4574.12,1,5,5,155,0,🌟 Champions,58.5
C00313,22,13,5387.12,2,4,5,245,0,🌟 Champions,58.5
C00314,5,10,2118.04,5,3,3,533,1,🔔 Need Attention,39.6
C00315,18,6,1240.1,3,1,2,312,1,🔔 Need Attention,39.6
C00316,24,9,1389.65,2,3,2,232,1,🔔 Need Attention,39.6
C00317,12,7,2286.36,4,2,3,423,1,🔔 Need Attention,39.6
C00318,7,13,1776.0,4,4,2,442,1,🔔 Need Attention,39.6
C00319,27,18,7506.6,2,5,5,255,0,🌟 Champions,58.5
C00320,40,2,194.0,1,1,1,111,2,😴 Hibernating,25.6
C00321,11,14,2367.06,4,5,3,453,0,🌟 Champions,58.5
C00322,11,9,1028.39,4,3,1,431,1,🔔 Need Attention,39.6
C00323,24,13,3836.0,2,4,4,244,0,🌟 Champions,58.5
C00324,48,10,3703.55,1,3,4,134,1,🔔 Need Attention,39.6
C00325,3,10,4000.86,5,3,4,534,0,🌟 Champions,58.5
C00326,6,15,4669.950000000001,5,5,5,555,0,🌟 Champions,58.5
C00327,9,9,772.6,4,3,1,431,1,🔔 Need Attention,39.6
C00328,31,9,1639.65,2,3,2,232,1,🔔 Need Attention,39.6
C00329,4,13,4685.0,5,4,5,545,0,🌟 Champions,58.5
C00330,120,2,309.0,1,1,1,111,2,😴 Hibernating,25.6
C00331,12,10,3450.36,4,3,4,434,1,🔔 Need Attention,39.6
C00332,4,19,7621.49,5,5,5,555,0,🌟 Champions,58.5
C00333,18,14,1572.35,3,5,2,352,1,🔔 Need Attention,39.6
C00334,8,17,5155.0,4,5,5,455,0,🌟 Champions,58.5
C00335,26,7,3709.0,2,2,4,224,1,🔔 Need Attention,39.6
C00336,19,3,1552.0,3,1,2,312,1,🔔 Need Attention,39.6
C00337,6,13,3464.9,5,4,4,544,0,🌟 Champions,58.5
C00338,40,4,1190.2,1,1,2,112,1,🔔 Need Attention,39.6
C00339,34,6,1375.9,2,1,2,212,1,🔔 Need Attention,39.6
C00340,54,10,6523.35,1,3,5,135,0,🌟 Champions,58.5
C00341,28,7,1539.0,2,2,2,222,1,🔔 Need Attention,39.6
C00342,8,2,1286.0,4,1,2,412,1,🔔 Need Attention,39.6
C00343,17,8,2004.15,3,2,3,323,1,🔔 Need Attention,39.6
C00344,46,7,1440.0,1,2,2,122,2,😴 Hibernating,25.6
C00345,6,6,1072.2,5,1,2,512,1,🔔 Need Attention,39.6
C00346,96,3,1282.0,1,1,2,112,2,😴 Hibernating,25.6
C00347,11,10,4196.25,4,3,5,435,0,🌟 Champions,58.5
C00348,4,10,2811.5,5,3,3,533,1,🔔 Need Attention,39.6
C00349,6,9,1933.0,5,3,3,533,1,🔔 Need Attention,39.6
C00350,5,19,4217.8,5,5,5,555,0,🌟 Champions,58.5
C00351,10,11,3116.0,4,4,4,444,0,🌟 Champions,58.5
C00352,3,9,1820.42,5,3,2,532,1,🔔 Need Attention,39.6
C00353,38,5,1559.0,1,1,2,112,1,🔔 Need Attention,39.6
C00354,11,17,5954.360000000001,4,5,5,455,0,🌟 Champions,58.5
C00355,6,8,1824.28,5,2,2,522,1,🔔 Need Attention,39.6
C00356,19,7,1735.0,3,2,2,322,1,🔔 Need Attention,39.6
C00357,3,11,2504.0,5,4,3,543,1,🔔 Need Attention,39.6
C00358,152,2,618.0,1,1,1,111,2,😴 Hibernating,25.6
C00359,23,2,794.5,2,1,1,211,1,🔔 Need Attention,39.6
C00360,24,9,4582.0,2,3,5,235,0,🌟 Champions,58.5
C00361,38,6,1661.75,1,1,2,112,1,🔔 Need Attention,39.6
C00362,32,6,1899.0,2,1,3,213,1,🔔 Need Attention,39.6
C00363,5,9,2037.6,5,3,3,533,1,🔔 Need Attention,39.6
C00364,5,7,1404.0,5,2,2,522,1,🔔 Need Attention,39.6
C00365,11,11,1973.9,4,4,3,443,1,🔔 Need Attention,39.6
C00366,5,14,6778.72,5,5,5,555,0,🌟 Champions,58.5
C00367,12,8,2448.0,4,2,3,423,1,🔔 Need Attention,39.6
C00368,4,19,5388.0,5,5,5,555,0,🌟 Champions,58.5
C00369,33,7,2396.0,2,2,3,223,1,🔔 Need Attention,39.6
C00370,23,9,2484.0,2,3,3,233,1,🔔 Need Attention,39.6
C00371,28,7,3605.0,2,2,4,224,1,🔔 Need Attention,39.6
C00372,2,15,3051.0,5,5,4,554,0,🌟 Champions,58.5
C00373,12,13,1968.61,4,4,3,443,1,🔔 Need Attention,39.6
C00374,10,13,1120.0,4,4,2,442,1,🔔 Need Attention,39.6
C00375,14,14,2962.7,3,5,4,354,0,🌟 Champions,58.5
C00376,57,7,607.3,1,2,1,121,2,😴 Hibernating,25.6
C00377,8,19,3628.0,4,5,4,454,0,🌟 Champions,58.5
C00378,25,6,852.0,2,1,1,211,1,🔔 Need Attention,39.6
C00379,8,13,3370.5,4,4,4,444,0,🌟 Champions,58.5
C00380,5,16,4372.3,5,5,5,555,0,🌟 Champions,58.5
C00381,8,3,990.0,4,1,1,411,1,🔔 Need Attention,39.6
C00382,77,5,4247.0,1,1,5,115,2,😴 Hibernating,25.6
C00383,23,10,1834.2,2,3,2,232,1,🔔 Need Attention,39.6
C00384,37,13,614.0,1,4,1,141,1,🔔 Need Attention,39.6
