index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,rating_clean
226,Lemon - Organically Grown,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,33.6,42.0,Organic Vegetables,,"It is organically grown and handpicked from farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
233,Banana Stem - Diced,Fruits & Vegetables,Cuts & Sprouts,Fresho,32.0,40.0,Cut & Peeled Veggies,,"We have reduced your time and effort with this pack of fresho diced banana stems which makes a quick and healthy meal, and are neatly cleaned and packed. Banana Stem is the fibrous stalk of the banana plant. It has high water content, fresh and crispy textured stalks with a mild taste. Fresho stem grade bananas are offered in a pristine condition and are tasty and nutritious.",
279,"Pomegranate - Single Serve, Peeled",Fruits & Vegetables,Fresh Fruits,Fresho,34.0,42.5,"Cut Fruit, Tender Coconut",,"We've eliminated the messy step of removing the peel of pomegranate.
Savour the luscious seeds without any effort through Fresho's pomegranates.
With ruby color and an intense, floral, sweet-tart flavour, the pomegranate delivers both taste and beauty. 
Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/1229/pomegranate-cooler/",
334,Zucchini - Green,Fruits & Vegetables,Fresh Vegetables,Fresho,50.0,62.5,Exotic Vegetables,,"Zucchini is a long, slender, cucumber like green vegetable that is also called squash. The green variant has a firm flesh and a mild flavour. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1933/quinoa-with-vegetables/",
351,Blueberry,Fruits & Vegetables,Fresh Fruits,Fresho,330.0,418.75,Exotic Fruits,,"Plump, smooth-skinned and indigo coloured perfect little globes of juicy berries have mostly sweet and slightly tart flavour. We have imported this fine quality, delicious tasting variety of blueberries. Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/564/blueberry-mousse/",
418,Drumstick - Organically Grown,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,13.0,16.25,Organic Vegetables,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
435,Ladies Finger,Fruits & Vegetables,Fresh Vegetables,Fresho,26.73,35.0,"Beans, Brinjals & Okra",,"Ladies finger is a green vegetable with a tip at the end and a lighter green head, which is inedibe and to be thrown away.
It tastes mild and slightly grassy. 
Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/2136/cheesy-okra-bhindi-fritters/",
456,Tapioca,Fruits & Vegetables,Fresh Vegetables,Fresho,17.0,21.25,Root Vegetables,,Starchy and mild flavoured Tapiocas are edible roots with a grainy textured flesh.,
513,Drumstick - Organically Grown,Fruits & Vegetables,Fresh Vegetables,Fresho,13.0,16.25,Organic Vegetables,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
562,Aloe Vera - Organically grown,Fruits & Vegetables,Exotic Fruits & Veggies,Fresho,40.0,50.0,Organic Vegetables,,"Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
696,Green Chilly - Chopped,Fruits & Vegetables,Cuts & Sprouts,Fresho,18.0,22.5,Cut & Peeled Veggies,,Fresho brings to you chopped Green chillis with a fresh flavour and sharp bite to bring a tang of spiciness to your food,
768,Beetroot - Julienne,Fruits & Vegetables,Cuts & Sprouts,Fresho,26.0,32.5,Cut & Peeled Veggies,,These edible ruby red roots are smooth and bulbous. Beetroots have the highest sugar content than any other vegetable. We deliver them fresh and uniformly sliced into thin long strips called the Julienne cut. Enjoy an effortless cooking that is less messy and much quicker because we value your time!,
838,Pumpkin - Organically Grown,Fruits & Vegetables,Fresh Vegetables,Fresho,28.0,35.0,Organic Vegetables,,"It is organically grown and handpicked from farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
855,"Apple - Green, Premium",Fruits & Vegetables,Fresh Fruits,Fresho,145.0,181.25,Apples & Pomegranate,,"Green apples have a pleasing light-green coloured skin with a sweet and sour taste.
They contain more fiber, less carbohydrates and sugar than red apples.
Premium apples are handpicked by our experts to give you the best quality apples. 
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1865/apple-cobbler/",
943,Onion - Organically Grown,Fruits & Vegetables,Fresh Vegetables,Fresho,35.0,43.75,Organic Vegetables,,"It is organically grown and handpicked from farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
970,Lemon Grass,Fruits & Vegetables,Herbs & Seasonings,Fresho,10.0,12.5,Indian & Exotic Herbs,,"Lemon Grass is a culinary herb that comes with an excellent aroma. It is also used as a medicinal herb in India. It has a subtle citrusy flavour and can be used fresh or even dried and powdered.
Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/2255/lemongrass-tea/",
1042,Broccoli,Fruits & Vegetables,Fresh Vegetables,Fresho,39.44,57.5,Exotic Vegetables,,"With a shape resembling that of a cauliflower, Brocollis have clusters of small, tight flower heads. These heads turn bright green on cooking and tastes slightly bitter.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1695/broccoli-masala/",
1164,Yellow Pumpkin - Avial Cut,Fruits & Vegetables,Cuts & Sprouts,Fresho,25.0,31.25,Cut & Peeled Veggies,,"Pumpkin is a gourd-like squash that belongs to the Cucurbita family. Pumpkins are so joyful looking with their intense colors. Its yellow-orangey skin and flesh is filled with the carotenoids. The shape varies from oblong to oblate and its skin is regularly thick in orange or yellowish color. The inside flesh differ from pale to dim green, ashen to gray and orange-yellow to red. At the central part of pumpkin, are the seeds which are edible.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
1188,Tamarind - Sweet,Fruits & Vegetables,Exotic Fruits & Veggies,Fresho,99.0,123.75,Exotic Fruits,,"Sweet tamarind is bean shaped with brown to clay coloured skin. Flesh inside the pod is tender, succulent and sweet.Tamarinds include small amounts of a mixture of vitamins, including vitamins A, C, E and K. Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/642/dahi-vada/",
1220,Ginger - Organically Grown,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,6.0,7.5,Organic Vegetables,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
1247,Kesar Mango,Fruits & Vegetables,Fresh Fruits,Fresho,115.0,143.75,Mangoes,,"Gir Kesar, due to its cultivation in foothills of Girnar, is irresistibly sweet, juicy and delicious. Skin is yellow with a tinge of green on the outside.
The pulp is bright orange in colour. It is an early season variety. It is the queen of mangoes.

Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1176/mango-falooda/  Calcium Carbide is not used in the ripening process of the mangoes.",
1272,Coccinia - Sliced,Fruits & Vegetables,Fresh Vegetables,Fresho,23.0,28.75,Cut & Peeled Veggies,,"The flesh of Coccinia is crunchy with a mild bitter after taste. Mature ones taste even sweeter. The translucent white flesh with seeds embedded turns red on ripening. They are oval to elongated with thick and light green skin. We deliver them fresh and diced, making your preparations much easier and quicker because we value your time!",
1310,Jackfruit - Peeled,Fruits & Vegetables,Cuts & Sprouts,Fresho,55.0,68.75,"Cut Fruit, Tender Coconut",,"Fresho brings peeled jackfruit to your doorstep in hygienic packs to reduce your effort of cutting the spiny skinned fruit.
Jackfruits are large sized, bright green-spiny skinned fruit.
When cut open, there are numerous soft golden yellow bulbs of pulp, with a meaty texture and an extremely sweet flavour that is similar to a blend of tart banana and pineapple. 
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1102/upside-down-jackfruit-cake-with-atta/",
1345,Snake Gourd - Organically Grown,Fruits & Vegetables,Fresh Vegetables,Fresho,20.0,25.0,Organic Vegetables,,"It Is Organically Grown And Handpicked From Farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
1363,Garlic - Organically Grown,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,56.0,70.0,Organic Vegetables,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
1446,Coconut - Diced,Fruits & Vegetables,Fresh Fruits,Fresho,39.0,48.75,Cut & Peeled Veggies,,Our freshly diced coconut can be used directly in many ways without having to worry about the rough external shell and fibrous husk,
1447,Organic Sprouts Moong Green,Fruits & Vegetables,Cuts & Sprouts,Fresho,29.0,36.25,Fresh Salads & Sprouts,,"Bean sprouts are the young shoots of the mung bean with petite pale yellow to pale green leaves attached on a silvery bright white shoot. With a high water content, bean sprouts offer a crunch and subtle nutty flavour. We take a very good care while growing and preparing sprouts in order to prevent contamination. Moong bean sprouts are low in calories and rich in fiber and Vitamins B, C and K. They are also rich in iron and folate. Folate is recommended to pregnant women, to prevent birth imperfections in the fetus.",
1478,Amaranthus - Red,Fruits & Vegetables,Fresh Vegetables,Fresho,20.0,25.0,Leafy Vegetables,,"A highly nutritious leafy vegetable, Red Amaranthus has bright red leaves and a flavor similar to a beat.
The Red variety produces feathery purple, magenta, or red flowers from the central stalk which is packed with edible seeds.
But once they mature and become bushy, they are not edible and should be avoided.
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1109/thotakura-vadiyalu-curry/",
1516,Banana - Karpooravalli,Fruits & Vegetables,Fresh Fruits,Fresho,28.0,35.0,"Banana, Sapota & Papaya",,"Golden yellow bananas that come with tinges of pale green, Karpooravalli bananas are considered the sweetest among all Indian varieties. They are cultivated in the states of Tamilnadu and Kerala.
Karpooravalli Bananas are procured directly from our farmers and are carefully delivered at your doorstep.Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2291/banana-paniyaram/",
1698,Kiwi - Sun Gold,Fruits & Vegetables,Fresh Fruits,Fresho,239.0,298.75,Exotic Fruits,,"With a smooth, hair-less golden brown coloured skin, sun gold kiwis taste like in between mango and strawberry with a soft and sweet yellow flesh. Full of vitality, this juicy, golden-fleshed new variety has a refreshing sweet taste with just a hint of sourness. An attractive, larger kiwi fruit with a delicate texture inside a smooth skin. Zespri Gold has a beautiful consistent shape and is delighting consumers all over the world. 
 Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/1010/lean-green-smoothie/",
1710,"Brinjal - Green, Round",Fruits & Vegetables,Fresh Vegetables,Fresho,22.0,27.5,"Beans, Brinjals & Okra",,"A hybrid variety, Green round Brinjals are attractive glossy green coloured that are round to oval in shape. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/271/baingan-mussalam/",
1819,Beans - Haricot,Fruits & Vegetables,Fresh Vegetables,Fresho,40.0,50.0,"Beans, Brinjals & Okra",,"Haricot beans are small, oval, plump and creamy-white with a mild flavour and a smooth, buttery texture.",
1949,Coconut - Organically Grown,Fruits & Vegetables,Fresh Fruits,Fresho,32.0,40.0,Organic Fruits,,"It is organically grown and handpicked from farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
1999,Pineapple - Organically Grown,Fruits & Vegetables,Fresh Fruits,Fresho,38.0,47.5,Organic Fruits,,"With the shape of a pine cone, the fruit is loosely fibrous and juicy with white to yellowish flesh. The edible center part is firm, leathery and sweeter. We selectively pick organically grown pineapples from the best farms  Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/865/american-pineapple-upside-down-cake-egg-free/",
2027,"Pineapple - Chunks, Single Serve",Fruits & Vegetables,Cuts & Sprouts,Fresho,19.0,23.75,"Cut Fruit, Tender Coconut",,"Our uniformly and perfectly cut pineapple chunks are enriching sight to behold.
We have reduced a large effort for you by removing the pineapple's prickly exterior and cubed its sweet, juicy flesh into bite-sized chunks.
Consumed on the during travel or in your breaks. These are alternatives for your snacks. A
dd them to your meal to make it interesting. Spice it up with a pinch of salt and masala. 
Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/865/american-pineapple-upside-down-cake-egg-free/",
2082,"Capsicum - Red, Organically Grown",Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,29.0,36.25,Organic Vegetables,,"Red capsicums are thin, smooth skinned, crunchy, mildly sweet tasting, hollow vegetables that are juicier variants of the green capsicum. They are perfect for adding a dash of colour, distinct taste and beautiful scent to your salad, pizza, pasta or even gravy preparations. They are sourced directly from farmers, so that you receive only the best quality ones which not only jazz up any dish but also offer health benefits.
Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability. Click here for delicious vegetable recipes - https://www.bigbasket.com/flavors/collections/227/fresh-vegetables/",
2146,Wheat Grass - Organically Grown,Fruits & Vegetables,Exotic Fruits & Veggies,Fresho,27.0,33.75,Organic Vegetables,,"The vivid green blades of Young grass sprouted from wheat seeds are long, thin and delicate being naturally sweet.  They have an earthy grass like flavor that is intensified significantly when juiced.",
2169,"Apple - Red Delicious, Premium",Fruits & Vegetables,Fresh Fruits,Fresho,182.0,227.5,Apples & Pomegranate,,"The bright red coloured and heart shaped Red Delicious apples are crunchy, juicy and slightly sweet.
Red Delicious Apples are a natural source of fibre and are fat free. They contain a wide variety of anti-oxidants and polynutrients.
Premium apples are handpicked by our experts to give you the best quality apples.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/241/apple-halwa/",
2175,Malgoa Mango,Fruits & Vegetables,Fresh Fruits,Fresho,149.0,186.25,Mangoes,,"The Alphonso of South India- Malgoa is round and green in colour with shades of red.
With a fusion flavour of spice and sweetness, the flesh is fiberless and comes with a sweet fragrance.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2314/mango-mint-and-limeade-slush/ 
Calcium Carbide is not used in the ripening process of the mangoes.",
2215,Mustard Leaves (Sarso Saag),Fruits & Vegetables,Fresh Vegetables,Fresho,19.0,23.75,Leafy Vegetables,,"Thin, frilli and delicate green mustard leaves have a crunchy texture and mustard flavour with a mild sweet and spicy pepper-like finish.
They are best used raw.",
2242,Beans Cluster - Diced,Fruits & Vegetables,Fresh Vegetables,Fresho,25.0,31.25,Cut & Peeled Veggies,,"These narrow, long beans called Cluster beans or Guar come with tiny pods and are highly nutritious. We deliver them fresh and diced, making your preparations less messy and much easy.",
2290,Beans - Julienne,Fruits & Vegetables,Cuts & Sprouts,Fresho,43.0,53.75,Cut & Peeled Veggies,,"We deliver these fresh beans in julienne cut, making your preparations less messy and much easy because we value your time!",
2400,"Pear - Green, Imported",Fruits & Vegetables,Fresh Fruits,Fresho,109.0,136.25,Apples & Pomegranate,,"Pears are grown throughout the world, but none matches the ideal growing conditions and climate of the Pacific Northwest states of USA “ Washington & Oregon.
USA Pears are recognized worldwide for their unsurpassed quality.
They are good any time of the day“ from mid-morning to pre bed time, easy to digest with only 100 calories. 
USA Pears are ready to eat when they yield to the gentle thumb test. 
Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
2428,Sambar Onion - Organically Grown,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,34.0,42.5,Organic Vegetables,,"It Is Organically Grown And Handpicked From Farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
2464,Mango Mallika - Organically Grown,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,83.0,103.75,Organic Fruits,,"The Mango fruit is the National Fruit of India . The Mango is a fleshy stone fruit belonging to the genus Mangifera . Mangoes are rich invitamin A, C, and D. It is also called th King of fruits.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
2479,Knol Khol - Organically Grown,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,24.0,30.0,Organic Vegetables,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
2542,Muskmelon - Organically Grown,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,27.0,33.75,Organic Fruits,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
2854,Lettuce - Red,Fruits & Vegetables,Exotic Fruits & Veggies,Fresho,16.0,20.0,Exotic Vegetables,,"With fragile reddish or purplish leaves, Red lettuce has a mild flavour and is less crunchy compared to the green lettuce.",
2890,Carrots - Grated,Fruits & Vegetables,Cuts & Sprouts,Fresho,30.0,37.5,Cut & Peeled Veggies,,"A popular sweet-tasting root vegetable, Carrots are long, narrow and cone shaped. They have thick, fleshy, deeply coloured root, which grows underground, with feathery green leaves that emerge above the ground.  While these greens are fresh tasting and slightly bitter, the carrot roots are crunchy textured with a sweet and minty aromatic taste. We deliver these carrots freshly grated, making your preparations much easier and quicker because we value your time!",
2892,Onion - Organically Grown,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,35.0,43.75,Organic Vegetables,,"It is organically grown and handpicked from farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
2942,Brinjal - Varikatri,Fruits & Vegetables,Fresh Vegetables,Fresho,13.86,25.0,"Beans, Brinjals & Okra",,"One of the bigger varieties, Brinjal Varikatris are egg- shaped with white-purple stripes on the shiny skin.
The creamy flesh is enjoyably bitter tasting with several small, soft edible seeds. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1992/eggplant-grilled-sandwich/",
2946,Mosambi,Fruits & Vegetables,Fresh Fruits,Fresho,95.0,118.75,"Kiwi, Melon, Citrus Fruit",,"Fresho Mosambis are of the best quality, handpicked and sourced directly from the farmers of Anantapur. Sweet lime or mosambi is lime-like, large sized with an underlying yellow base. The intense, refreshing aroma is due to essential oils present in the skin. It generally tastes sweet, occasionally tart to sweet. Do not forget to check our delicious fruit recipe - < a href=""https://www.bigbasket.com/cookbook/recipes/1847/coconut-chia-pudding-super-bowl/"">",
3015,Totapuri Mango,Fruits & Vegetables,Fresh Fruits,Fresho,24.0,30.0,Mangoes,,"With a parrot-like beak at the fruit tip, greenish yellow skinned Totapuri is a perfect blend of sweetness and tartness.
It has a rich aromatic flavour.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2307/mango-chhunda/ 
Calcium Carbide is not used in the ripening process of the mangoes.",
3050,Asparagus,Fruits & Vegetables,Fresh Vegetables,Fresho,84.0,112.5,Exotic Vegetables,,"The uniquely mild and bitter flavoured Asparagus has long, deep green stalks that are tender at the tip and thick at the end.",
3080,Leeks,Fruits & Vegetables,Fresh Vegetables,Fresho,16.0,20.0,Exotic Vegetables,,"Leek is a long bundle of leaf sheaths with a mild, onion-like taste. In its raw state, the vegetable is crunchy and firm. The edible portions of the leek are the white base of the leaves (above the roots and stem base) and the light green parts.",
3086,"Pumpkin - Disco, Organically Grown",Fruits & Vegetables,Exotic Fruits & Veggies,Fresho,39.0,48.75,Organic Vegetables,,"Pumpkin Disco are extremely rich in minerals like potassium and copper, making your body and the immune system strong. This tasty and nutritious vegetable can be used in various curries and fried preparations.",
3162,"Beans - Broad, Organically Grown",Fruits & Vegetables,Fresh Vegetables,Fresho,46.0,57.5,Organic Vegetables,,"Their verdant sheen and kidney-shaped curves, broad beans make them one of the best looking vegetables. Being organically grown, they are chemical - free and safe and healthy for consumption. Broad beans can be used in simple vegetables dish in combination with potatoes and also in fried rice, salads and risotto.",
3173,Ooty Potato - Medium,Fruits & Vegetables,Fresh Vegetables,Fresho,69.0,86.25,"Potato, Onion & Tomato",,"Whether mashed, baked or roasted, people often consider potatoes as comfort food. It is an important food staple and the number one vegetable crop in the world. Potatoes are available year-round as they are harvested somewhere every month of the year.Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.Click here for delicious vegetable recipes -",
3207,Watermelon - Organically Grown,Fruits & Vegetables,Fresh Fruits,Fresho,39.0,48.75,Organic Fruits,,"With greenish black to smooth dark green surface, we selectively pick organically grown watermelons from the best farms These watermelons have juicy, sweet and grainy textured flesh filled with 12-14% of sugar content, making it a healthy alternative to sugary carbonated drinks. Flesh colour of these are pink to red with dark brown/black seeds. 
 Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1181/watermelon-mocktail/",
3240,Apple Shimla Economy 1kg + Mosambi 4pcs + Banana Robusta 1kg + Pomegranate 2pcs,Fruits & Vegetables,Fresh Fruits,Fresho,360.77,456.25,Apples & Pomegranate,,"Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/ 
 Sweet Lime is soft yellow colored, mildly sweet tasting, juicy fruits that is resident to South Asia. It is a versatile fruit with a sweet and sour flavor. This wonderful fruit renders terrific nutritional charge. It is little in calories; just 43 calories per 100 grams. The peel can differ in thickness from lean to quire thick.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/   Robusta Semi Ripe Bananas are around 6-7 inches long. Robusta has a dissimilar sweet flavor, good smell and the texture is mushy and smooth. They come neatly filled in their own wrapper, want not be washed before eating and are very moveable too. One banana supplies 30 percent of the daily B6 must and is rich in Vitamin C and potassium. It also has trace amounts of numerous amino acid, including tryptophan get during our diet.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/",
3325,Thai Ginger,Fruits & Vegetables,Fresh Vegetables,Fresho,38.0,47.5,Root Vegetables,,"Thai ginger, also known as Galangal, has an orange-brown coloured skin with a pale yellow or white interior and pinkish portions. 
Galangal tastes more like pepper than ginger and has a sharp blend of black pepper and pine like aroma.",
3340,Baby Potato,Fruits & Vegetables,Exotic Fruits & Veggies,Fresho,20.0,25.0,Exotic Vegetables,,These small baby potatoes are a sweeter variety than normal ones and come with a creamy off white interior. Baby potato is a starchy vegetable that adds thickness to recipes and blends well with other vegetables.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2133/baked-cheesy-baby-potatoes/,
3418,Mosambi - Economy,Fruits & Vegetables,Fresh Fruits,Fresho,143.0,178.75,"Kiwi, Melon, Citrus Fruit",,"Fresho Mosambis are of the best quality, handpicked and sourced directly from the farmers of Anantapur. Sweet lime or mosambi is lime-like, large-sized with an underlying yellow base. The intense, refreshing aroma is due to the essential oils present in its skin. It generally tastes sweet, occasionally tart to sweet. Enriched with Vitamin C, protein and fiber, it provides a range of health benefits. You can even make Juice from this fruit.",
3627,Guava - Organically Grown,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,36.0,45.0,Organic Fruits,,"Savour the green guavas along with hard, pale yellow edible seeds. The off-white flesh is crunchy and mildly sweet with very good fragrance. We selectively pick organically grown guavas from the best farms  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/802/fruit-salad-trifle/",
3655,Sambar Pack,Fruits & Vegetables,Cuts & Sprouts,Fresho,41.0,51.25,Recipe Packs,,"Prepare delicious and nutritious South Indian Sambar with all these freshly cut vegetables - Broad Beans Diced, Carrot Sliced, Beans Diced, Potato Diced -100 Gms, Drumstick Cuts. This pack is sufficient for preparing Sambar which can be consumed by 5 - 6 members.
Try out this recipe at home -  https://www.bigbasket.com/flavors/collections/222/ready-to-cook-vegetable-pack-recipes/ 
 Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.",
