index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,rating_clean
501,Active Baby Medium (6-11 kg) - 62 Diapers,Baby Care,Diapers & Wipes,Pampers ,1077.02,1099.0,Diapers,4.4,"Pamper Active Baby Medium Diapers have been planned to offer utmost comfort to your kid. It keeps your baby dry, even under stress, so he can play uninterruptedly. It is flex to fit where your baby needs it nearly all.",4.4
512,Premium Care XXXL - 23 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,850.26,1149.0,Diapers,3.8,"Pampers baby-dry pants style diapers are the only pants in India with new Air Channels providing your baby with a new type of dryness overnight; breathable dryness. Magic Gel that locks wetness away for up to 12 hours of dryness. The new & improved product design enables a comfortable fit, closer to the baby’s body. Flexible waistband that adapts to baby’s movements for a comfortable fit. Baby lotion with Aloe Vera helps protect your baby’s delicate skin from diaper rash and irritation. A top layer with cotton-like soft material, for a comfortable night’s sleep. Fun exterior graphics; fun designs and characters to enjoy with your baby.",3.8
541,Baby Powder With Fragrance,Baby Care,Baby Bath & Hygiene,Pigeon,99.0,99.0,Baby Powder,3.8,"It is mild & gentle on the skin of your babies. Enriched with organic extracts of chamomile, rosehip and organic olive oil, Pigeon baby powder with mild fragrance keeps the skin soft and smooth, giving it a fresh, dry and comfortable feeling.",3.8
589,Baby Oil With Fruit Extracts,Baby Care,Baby Bath & Hygiene,Mee Mee,343.2,429.0,Baby Oil & Shampoo,,"Gentle enough to be used from birth, Mee Mee olive baby oil blends olive oil and sunflower seed and oil making it ideal for your baby's daily massage. It is micro-biologically tested to suit your baby. Olive oil keeps the skin soft and beautiful. Ideal for a smooth massage on a baby's delicate skin.",
630,"Baby Food with Sprouted Grains - Ragi Rich, 6+ Months, Rich in Vitamins & Minerals, No Milk",Baby Care,Baby Food & Formula,Manna ,99.0,99.0,Baby Food,4.1,"Manna ragi rich is the right mix of sprouted ragi, sprouted green gram and fortified with vitamins essential for child's growth and development. In Ragi and Green Gram, Sprouting helps in the break down of the complex sugars and proteins to much simpler forms which make digestion easier. The process of germination increases vitamin and mineral content. The product is rich in calcium, phosphorous and iron needed for growth and development of the child, making it highly recommended for infants.",4.1
684,Silicone Pacifier Step 2 - Purple Flower,Baby Care,Baby Accessories,Pigeon Baby,249.0,249.0,Soothers & Teethers,3.0,"Pigeon Oral Development Pacifier System supports the babies to have a natural suck. The pacifiers satisfy their needs and soothe their emotions. Apart from that, pacifiers also help babies to learn nasal breathing. When babies begin to wean and talk, they tend to breathe through their mouths. Unlike the nose, the mouth is not able to filter or humidify the air, which means the dust and infections can enter the mouth, affecting babies immunity directly. Also, the pacifiers thus promote natural nasal breathing, which helps to reduce the possibility of infection through mouth-breathing. It also promotes nasal breathing and the thin lip contact area promotes the healthy development of teeth. It perfectly fits the mouth of a teething baby and the snug-fitting shield conforms to the international safety standards. The soft tip underneath and firm tip on top facilitates the babys natural sucking reflex action activates the brain. It exudes a psychological stabilising effect and the breather holes on the shield for safety. The protective hood for covering the nipple when not in use. This nipple is of perfect shape and size to fit into the sucking fossa of the baby. The inner vertical lines make it collapse-resistant and the textured surface allows the baby to latch on easily. It is 100% silicone nipple, super soft and flexible, allows natural and smooth tongue movement. The air ventilation system reduces intake of gas, which is the potential cause of colic.",3.0
686,"Cerelac Baby Cereal with Milk - Wheat Apple, From 6-12 Months, Rich in Iron",Baby Care,Baby Food & Formula,Nestle ,199.0,199.0,Baby Food,4.4,"Nestle Cerelac Baby Cereal with Milk, Wheat Apple is a complementary food for babies from 6 to 12 months. While infants and children have higher requirements of nutrients than adults, 2 serves of Cerelac Wheat Apple Cereal provides 75% of a baby’s daily need of iron. It is also, a source of 19 important nutrients including vitamins and minerals. Nestle develops infant nutrition products backed by evolving science and research. Innovation has been at the heart of Nestle since its beginning.
Important Notice: Mother’s milk is best for your baby.
Safety Warnings: Infant food should be used only on the advice of a health worker as to the need for its use and the proper method of its use. Infant food is not the sole source of nourishment for an infant. Use prepared feed within half an hour otherwise microbial deterioration may set in. Discard unused feed.",4.4
760,Baby Powder,Baby Care,Baby Bath & Hygiene,Johnson's baby,235.0,235.0,Baby Powder,4.5,"Johnson's baby powder absorbs excess moisture and keeps baby's skin comfortable and dry.
Johnson's baby powder is dermatologist tested and hypoallergenic.
U.S. Pharmacopoeia grade talc to ensure it meets the highest quality and purity.
Highest IFRA fragrance standard.
No Parabens, No Sulfates, No Dye.
Recommended by doctors.
Johnson's baby powder formula awakens and stimulates your baby's senses making your baby feel fresh and play happily with everyone.",4.5
801,Premium - 3 Follow-Up Formula,Baby Care,Baby Food & Formula,Dexolac,595.0,595.0,Infant Formula,4.5,"Dexolac Premium Stage 3 Follow Up Formula is a powdered milk substitute for babies after 12 months up to 24 months of age. It is specially designed for the baby’s overall growth & brain development. Dexolac Premium contains Neuronutrients like Omega 3 & 6 Fatty acids (precursors of DHA & ARA), Taurine, Choline, Iron & Iodine to help in overall brain development. Contains nutrients like Nucleotides, Selenium, Zinc, and Vitamins A, C, E that support immune function. Improves digestive health with easy to digest Whey proteins, Lactose, and Nucleotides to support the growth of useful bacteria. Formulated with Calcium, Phosphorus, Magnesium, and Vitamin D to help strengthen bones. Dexolac Premium contains optimal levels of Neuronutrients to facilitate the normal brain development of a baby.
Unboiled water, unsterilized bowl and spoon or incorrect dilution may endanger the infant’s health. Prepare only one feed at a time. Use prepared feed immediately (within half an hour), otherwise, microbial deterioration may set in. Discard unused feed. Infant milk substitute should be used only on the advice of a health worker as to the need for its use and the proper method of its use. Careful and hygienic preparation of infant milk substitute is most essential for health. Do not use more scoops than directed, since concentrated feed will not provide the water needed by your infant. Do not use fewer scoops than directed, since diluted feeds will not provide adequate nutrients needed by your infants.",4.5
839,Baby Wipes - Gentle,Baby Care,Diapers & Wipes,Himalaya Baby,44.0,44.0,Baby Wipes,4.3,"Cleanses, Moisturizes and keeps the delicate baby skin soft. An effective combination of herbs that moisturizes and keeps your baby's delicate skin soft, Aloe Vera ensure moisture balance to keep your baby's skin soft and supple. Indian Lotus keeps the skin dry and smooth, Your baby needs gentle care and Protection.Himalaya Herbal Healthcare range of baby product are specially to ensure the health of your baby's delicate and sensitive skin. Clinically tested for mildness, these product maintain the fragile and complete well-being of your baby's skin.",4.3
889,Natural Baby Wash,Baby Care,Baby Bath & Hygiene,The Moms Co,149.0,149.0,Baby Bath,,"Our Natural Baby Wash is a toxin-free combination of Coconut based mild cleansers that gently clean, while oils like Avocado, Organic Chamomile, and Organic Aloe Vera gel help soften and soothe your baby's delicate skin. The Moms Co. Natural Baby Wash is a clinically-tested and tear-free baby wash that works great as a top to toe wash for babies or toddlers with little hair.",
938,Dates Powder - Natural Sweetener,Baby Care,Baby Food & Formula,Early Foods,300.0,300.0,Organic Baby Food,4.6,"100% dried dates made into a fine powder. A natural sweetener and healthy replacement for sugar. It can be used to sweeten porridges, milkshakes, kheer, halwa and even partly mixed in cake and cookie doughs. Rich iron content. It contains no preservatives, additives or artificial flavours.",4.6
940,Infant Formula Baby Food Powder - Stage 1,Baby Care,Baby Food & Formula,Enfamil A+,715.0,715.0,Infant Formula,4.5,"Enfamil A+ Stage 1 has DHA & ARA at levels close to FAO/WHO recommendations for infants of 0-6 months. Enfamil formulas for infants are individually tailored to help nourish brain development and help support infant milestones. As your baby grows and develops, he/she reaches new and more complex milestones. These milestones are driven by a cognitive, motor, social and communication areas of the brain. Enfamil Infant has DHA, a fatty acid recommended by experts and important for infant brain development.",4.5
941,Organic - Whole Wheat Ajwain Jaggery Teething Sticks,Baby Care,Baby Food & Formula,Early Foods,175.0,175.0,Organic Baby Food,3.9,"This product is recommended for little ones who are ready for all grains and nuts and it is a vegan snack. Best if they have 1-2 teeth to chew. If not, you can always dip in milk to help them bite. organic whole wheat teething breadsticks with the goodness of ajwain and jeera. It is made from organically certified whole grains and 0% maida. No baking powder, no soda or raising agents, no egg, 0% sugar, sweetness from organic jaggery and dates. Also, no hydrogenated fats, and it is made from pure cow butter. No preservatives or artificial flavours are added.",3.9
1037,Deluxe Grooming Set - Ergonomic Care,Baby Care,Baby Bath & Hygiene,Mothercare ,1899.0,1899.0,Baby Gift Sets,,The Mothercare Deluxe Baby Grooming Set contains all you need to keep your baby looking smart and groomed and also contains essential extras such as a thermometer and nasal aspirator. It contains conveniently-organised healthcare and grooming tools for baby in a compact case.,
1068,Children's Shampoo,Baby Care,Baby Bath & Hygiene,Sebamed,192.0,192.0,Baby Oil & Shampoo,4.5,"Sebamed children's shampoo has pH of 5.5 and has sugar based mild cleanser. Other children shampoos have pH>7 and chemicals like formaldehyde, phthalates, SLS which leads to allergic reactions. At pH 5.5 alone the scalp barrier remains intact. It has been clinically proven that only at pH 5.5, the scalp is hydrated and strengthens scalp for optimal hair growth. Lipid and moisture loss is minimum and the growth of Malassezia which leads to dandruff is restricted. Sebamed children's shampoo is free from irritants and hence has 0% incidences of irritant reactions. Sebamed children's shampoo contains a botanical ingredient, hence the reported incidence of allergic reaction is 0.000003%. Only at pH5.5, the baby's delicate eyes are not irritated and the tear-free formula is free from formaldehyde. Sebamed children's shampoo is ideal for cradle cap, seborrheic dermatitis and dandruff. Made in Germany 100%, it is soap and alkali free. It is a mild cleanser for gentle cleansing without irritating the scalp or hair. The herbal extract of chamomile alleviates irritation and soothes the skin. Special “no tears” formula, does not sting in the eyes. It leaves hair silky and shiny. It has a pleasant botanical fragrance. It is Ideal from six months onwards.Clinically proven, its suitability for cleansing of hair and scalp in babies and infants with sensitive scalp was proven in the dermatological study. Users documented an excellent acceptance of the shampoo and 93 % were willing to continue using it.",4.5
1091,"Reusable Fabric Diaper - Medium, Pink",Baby Care,Diapers & Wipes,Paw Paw,269.0,269.0,Diapers,,"India's no.1 reusable diaper, Paw Paw Fabric Diaper is highly absorbant, less susceptible to skin rashes & skin allergies, unlike disposable diapers. The reusable diaper is an eco-friendly diapering option that helps to reduce disposable waste in our landfills. It has a reusable printed outer shell and super-absorbent reusable insert pad. It is very gentle for your little one's skin.",
1192,Fluoride Free Toothpaste - Strawberry Flavor,Baby Care,Baby Bath & Hygiene,Mee Mee,268.2,298.0,Baby Oral Care,4.3,"The fluoride-free safe formulation for kids.
Sugar-free with tasty Strawberry flavour.
Contains triple calcium & phosphate for stronger teeth.
Can be used for babies as soon as they get teeth.",4.3
1251,Baby Cream,Baby Care,Baby Bath & Hygiene,Himalaya Baby,214.0,260.0,Baby Creams & Lotions,4.3,"A Specially formulated soft cream for dry cheeks, tender noses, rubbed elbows and knees. Olive Oil improves Skin lustre, Country Mallow, an anti-oxidant, protects and soothes skin.",4.3
1301,Wonder Dry Pants - Double Extra Large Size Diapers,Baby Care,Diapers & Wipes,Huggies,456.58,499.0,Diapers,4.1,"Huggies knows that nothing is more important than the comfort and well-being of your little baby. Choosing the best diaper for your baby is an important step in ensuring the comfort of your little ones during the day as well as overnight. That is why we have lovingly designed Huggies Wonder Pants for the all-round comfort of your little one. These diaper pants keep your baby comfortable in the day and help them sleep peacefully at night without any wetness irritating their skin. Their cottony-soft material is gentle on their bum keeping their precious skin perfect. And the revolutionary dry touch sheet pulls the wetness away from the skin of your baby keeping it dry and hygienic for up to 12 hours. If you are looking for safe and gentle care for your little one, stock up your diaper bags and changing tables with Huggies Wonder Pants. It comes with a super-stretchy material that fits your baby like a hug of a mother. It has double leak guard to keep all worries of leakage at bay.",4.1
1303,Premium Care XXL - 30 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,813.26,1099.0,Diapers,4.5,"New Pampers Premium Pants with cotton-like soft materials is best for your baby’s delicate skin. Pampers Premium Pants contain lotion with Aloe Vera and 3 Air Channels which helps your baby’s skin breathe. Experience 5 Star comfort with unique added features like Wetness Indicator which turns Yellow to Blue indication when you may change and Disposal Tape which helps you in easy disposal of the diaper. Pampers is the No. 1 choice of Doctors for diapers. Pampers Premium Pants are available in New-born (NB), S, M, L, XL and XXL sizes.",4.5
1349,Baby Soap,Baby Care,Baby Bath & Hygiene,Johnson's baby,270.0,270.0,Baby Bath,4.4,"Johnson's baby soap is enriched with Vitamin E. Easy to grip bar for bathing your newborn, recommended by the doctors. No Sulfates, No Parabens, No Dyes. Johnson's baby soap has a rich, creamy lather that gently cleanses and helps keep your baby's skin soft and supple. Preserves baby's natural skin moisture. Clinically mildness proven. Enriched with 1/4th baby lotion, helps moisturise your baby's delicate skin by reducing moisture loss while cleansing it ever so gently. Gentle care your baby's delicate skin.",4.4
1362,Steam Steriliser With Tongs,Baby Care,Baby Bath & Hygiene,Pigeon Baby,3290.0,3290.0,Baby Health,4.0,"Pigeon compact steam steriliser offers you greater convenience, in both household and travelling. It is light and can be dismantled for easy cleaning. The interchangeable compartment lets you customize its size according to your needs. Using natural steam sterilisation process, pigeon compact steam sterilisation is proven to effectively kill harmful bacteria, protecting the wealth of your babies.",4.0
1420,Premium Care Medium - 54 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,813.26,1099.0,Diapers,4.3,"New Pampers Premium Pants with cotton-like soft materials is best for your babys delicate skin. Pampers Premium Pants contain lotion with Aloe Vera and 3 Air Channels which helps your babys skin breathe. Experience 5 Star comfort with unique added features like Wetness Indicator which turns Yellow to Blue indication when you may change and Disposal Tape which helps you in the easy disposal of the diaper. Pampers is the No. 1 choice of Doctors for diapers. Pampers Premium Pants are available in New-born (NB), S, M, L, XL and XXL sizes.",4.3
1520,Breathable Premium Baby Diaper Pants With Wetness Indicator - Small,Baby Care,Diapers & Wipes,Mee Mee,319.2,399.0,Diapers,,"We know that nothing is more powerful than a mother's touch. No one can give your baby the kind of softness and protection you can. Inspired by mothers, Mee Mee Premium Diaper Pants use super absorbent polymers technology to make a premium quality, a breathable product that is exceptionally soft and cloth-like. Equipped with a unique Wetness Indicator, it helps you to know that it is time for a diaper change by simply turning green.",
1568,Baby Wash - With No Harmful Chemicals & Tear Free Formula,Baby Care,Baby Bath & Hygiene,Dabur,118.4,160.0,Baby Bath,4.7,"Dabur Baby Wash is enriched with baby loving ayurvedic herbs and it has been dermatologically tested to be mild and safe to be used for babies. Dabur Baby Wash's pH neutral formula is matched with baby's skin. The power of Chickpea, Coconut, Aloe vera and calendula extracts produces a rich creamy lather for skin that is clean, effectively moisturised, soft and mild. It is hypoallergenic, has a tear-free formula and is gentle & safe for use on newborn baby's skin. It also doesn't contain any harmful chemicals.",4.7
1594,Ultra Soft Premium Pants New Born - 22 Diapers,Baby Care,Diapers & Wipes,Huggies,288.23,315.0,Diapers,4.0,"Huggies understands that nothing is more important than the comfort and well-being of your little baby. Huggies Ultra Soft is our best care for the sensitive skin of your baby. Every Ultra Soft Diaper pant is clinically proven to help prevent rashes. The air-fresh material in our Ultra Soft range makes it the most breathable diapers of India. With up to 12 hours of absorption, Ultra Soft Diaper pants are perfect for your little one to sleep in comfortably all night or play in all day. The cottony softness of Ultra Soft pants ensures your baby is always wrapped in a world of comfort. It has wetness indicator that turns from yellow to blue to suggest that its time for a diaper change.",4.0
1646,Natural Baby Wash,Baby Care,Baby Bath & Hygiene,The Moms Co,225.0,225.0,Baby Creams & Lotions,2.5,"Our Natural Baby Wash is a toxin-free combination of Coconut based mild cleansers that gently clean, while oils like Avocado, Organic Chamomile, and Organic Aloe Vera gel help soften and soothe your baby's delicate skin Benefits of The Moms Co. Baby Wash :

Gently Cleans: A gentle coconut-based cleanser that cleans baby's skin and retains moisture while also being gentle on eyes
Provides Moisturization: Enriched with Organic Argan Oil, Avocado Oil and Organic Aloe Vera Gel to moisturise and soften the skin
Clinically-tested Tear-free: Coconut Based Cleansers and oils clean the baby's scalp and help nourish without causing irritation
Soothes The Skin: Natural ingredients like Organic Chamomile Oil and Calendula Oil help reduce inflammation and soothe skin",2.5
1647,Breathable Premium Baby Diaper Pants With Wetness Indicator - Medium,Baby Care,Diapers & Wipes,Mee Mee,319.2,399.0,Diapers,4.0,"We know that nothing is more powerful than a mother's touch. No one can give your baby the kind of softness and protection you can. Inspired by mothers, Mee Mee Premium Diaper Pants use super absorbent polymers technology to make a premium quality, a breathable product that is exceptionally soft and cloth-like. Equipped with a unique Wetness Indicator, it helps you to know that it is time for a diaper change by simply turning green.",4.0
1673,Premium Care XXL - 60 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,1583.28,2199.0,Diapers,4.3,"New Pampers Premium Pants with cotton-like soft materials is best for your baby’s delicate skin. Pampers Premium Pants contain lotion with Aloe Vera and 3 Air Channels which helps your baby’s skin breathe. Experience 5 Star comfort with unique added features like Wetness Indicator which turns Yellow to Blue indication when you may change and Disposal Tape which helps you in easy disposal of the diaper. Pampers is the No. 1 choice of Doctors for diapers. Pampers Premium Pants are available in New-born (NB), S, M, L, XL and XXL sizes.",4.3
1685,Refreshing - Baby Soap,Baby Care,Baby Bath & Hygiene,Himalaya Baby,72.0,72.0,Baby Bath,4.4,"Himalaya Refreshing Baby Soap, Watermelon, Khus-Khus & Neem: Mild and soothing soap that helps keep the baby's skin cool and fresh while cleansing it gently, Enriched with Watermelon, helps cool and condition the skin; Khus grass, helps keep the skin fresh; and Neem, helps provide skin protection.",4.4
1832,Body Mist For Babies - Tropical Garden,Baby Care,Baby Bath & Hygiene,Mamaearth,598.0,598.0,Baby Bath,2.8,"An instant splash of freshness for your little one’s face & body. Mamaearth’s joyful Tropical Garden Body Mist for babies gives floral & fruity fragrance of tropical flowers, masks the odour of milk, drool, sweat & food, giving your baby a fresh feeling. This product is alcohol free and certified allergen free.",2.8
1862,"Mini Oaty Bites - Nuts & Berries, 18+ Months, 100% Natural, No Added Sugars",Baby Care,Baby Food & Formula,Timios,160.0,160.0,Baby Food,3.7,Delicious Mini Oaty Bites from Timios are made with four super ingredients and their soft and chewy consistency is perfect for toddlers and pre-schoolers. It is tasty and healthy in every bite and dissolves easily in the mouth of your child. It is a 100 natural and healthy biscuit for kids.,3.7
1865,Bio Berry Sensitive Mommy & Baby Bubble Bath,Baby Care,Baby Bath & Hygiene,BIOTIQUE,74.25,99.0,Baby Bath,4.8,"This gentle, 100% soap-free, bubbling wash is a natural blend of wild berries, sandalwood oil, honey and aloe vera to make babys and mommys bath time a delightful experience. Light-foaming, it has a pH balanced formula refreshes and nourishes sensitive skin, without dryness or irritation, for a soft and comforting feeling.",4.8
1897,Premium Care Medium Monthly Box Pack - 108 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,1540.0,2199.0,Diapers,3.9,"New Pampers Premium Pants with cotton-like soft materials is best for your babys delicate skin. Pampers Premium Pants contain lotion with Aloe Vera and 3 Air Channels which helps your babys skin breathe. Experience 5 Star comfort with unique added features like Wetness Indicator which turns Yellow to Blue indication when you may change and Disposal Tape which helps you in the easy disposal of the diaper. Pampers is the No. 1 choice of Doctors for diapers. Pampers Premium Pants are available in New-born (NB), S, M, L, XL and XXL sizes.",3.9
1942,"Reusable Fabic Diaper - Large, Pink",Baby Care,Diapers & Wipes,Paw Paw,269.0,269.0,Diapers,2.7,"India's no.1 reusable diaper, Paw Paw Fabric Diaper is highly absorbant, less susceptible to skin rashes & skin allergies, unlike disposable diapers. The reusable diaper is an eco-friendly diapering option that helps to reduce disposable waste in our landfills. It has a reusable printed outer shell and super-absorbent reusable insert pad. It is very gentle for your little one's skin.",2.7
1944,New Dry Small - 36 Diapers,Baby Care,Diapers & Wipes,Huggies,430.05,470.0,Diapers,3.9,"One of the most important baby care products that you will buy for your baby is diapers. Whether it is for your newborn or for your toddler who is yet to go to the bathroom by himself or herself, diapers are the product that can make your first year of parenting easy or tough. If you have thought of not using diapers, just consider the consequences. Cloth diapers not only have to be changed more often, but they have to be washed and sanitised every single time. Also, if the fabric is not smooth enough, it will constantly rub against the skin of your baby which may lead to scratches or redness. To spare your baby and yourself all this trouble, switch to diapers, especially these ones from Huggies. Choose Huggies dry diapers for your child and you will both sleep soundly through the night. Whether it is playtime, nap time or bedtime, these diapers are okay for any activities that you have planned for your baby. The magic gel formula will pull in any wetness instantly and keeps the bottom of your child dry. The absorbent core locks in all the fluid after distributing it evenly. These diapers are highly absorbent and keep your baby relaxed and dry, even when he or she is crawling and on the move. The double leak guard prevents leakage along the sides, keeping both the baby and your floors clean. Huggies dry diapers come with wear any side snug fit, giving you the freedom to make your baby wear his or her diaper any way you want.",3.9
1981,New Dry Large Box Packs,Baby Care,Diapers & Wipes,Pampers ,1655.28,2299.0,Diapers,4.2,"Pampers dry, pants style diapers are the only pants in India with new air channels that provide your baby with breathable dryness overnight. It contains a magic gel that locks wetness away for up to 12 hours and the new and improved design enables a comfortable fit, closer to the baby's body. The diaper pants have a flexible waistband that adapts to the baby's movements for a comfortable fit, while the baby lotion with aloe vera helps protect your baby's delicate skin from diaper rash and irritation. The diaper pants top layer is made of a cotton-like soft material, for a comfortable night sleep, while the exterior has fun graphics, designs and characters on it.",4.2
2034,"100% Organic Porridge - Millet & Oats, 6-8 Months, No Preservatives, No Artificial Colours",Baby Care,Baby Food & Formula,Slurrp Farm,300.0,300.0,Baby Food,3.7,"Made from the goodness of 100% Organic Millets - Jowar & Foxtail Millet and Oats, this porridge is a rich source fibre, iron, protein and antioxidants. Slurrp Farm Organic Millet & Oats Porridge contains no added salt or sugar.",3.7
2038,Baby Happy Xtra Large - 46 Diapers,Baby Care,Diapers & Wipes,Bella,833.0,859.0,Diapers,5.0,"Bella Baby Happy is the European brand of premium Baby diapers, IMPORTED FROM EUROPE. Happy diapers are featured with cutting - edge DIAPER RASH FREE SYSTEM - a complex of unique features that keep your Baby's skin healthy. Happy diapers prevent the appearance of rashes irritations, allergies and reddening. AIR CIRCULATION - special outer cover allows full air circulation that keeps the right temperature inside a diaper, lets the vapour go through and keeps your Baby's skin dry, fresh and healthy. GREEN TEA EXTRACT - green tea extract has antibacterial & anti-inflammatory properties and it neutralizes the unpleasant smell. SKIN FRIENDLY TECHNOLOGY - latex and chlorine-free components minimise the risk of rashes and allergic reactions. MAGIC GEL - magic pearls transform the liquid into gel and isolate wetness from Baby's bottom. Fast absorption effectively protects against leakages and ensures maximum dryness. Gentle gathers on both sides of a diaper hold the moisture inside and prevent leakages. Elastic tapes guarantee freedom of movement with no pressure on Baby's delicate skin. Symmetrical pictures in front of a diaper enable proper fastening.",5.0
2040,Total Care Baby Pants Diapers - S,Baby Care,Diapers & Wipes,Himalaya,1000.0,1000.0,Diapers,5.0,Powered by natural anti-rash shield: Indian Aloe and Yashad Bhasma (Zinc Oxide) (that prevent the risk of diaper rash) Soft easy-to-fit design offer care and comfort to your baby. silky soft inner layer for soft & sensitive skin Breathable fabric ensures proper air circulation and leakproof soft elastic edges prevent leakage. Superabsorbent polymer (SAP) layer: Rapidly absorbs multiple wettings and provides maximum protection from dampness. Wetness indicator: Turns green to show when the baby wets the diaper. Keeps skin dry so that baby gets an undisturbed and restful sleep.,5.0
2134,Soap Free Bathing Gel - Relax,Baby Care,Baby Bath & Hygiene,Chicco,79.0,79.0,Baby Bath,4.0,"It gives a soothing and relaxing effect and gently cleanses the baby’s delicate skin, leaving it pleasantly scented and ultra-soft. It’s no tears formula enriched with the soothing properties of sweet floral flowers and glycerine gives relaxing, softening and moisturising properties to baby’s delicate skin.For gentle moisturising baby wash every day100% soap-free, Completely no-tears formula, all ingredients of vegetarian origin",4.0
